Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
44755.4375462963;2022-07-13 10:30:04;0;1;11.6;1;4860.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4376805556;2022-07-13 10:30:16;116;2;5.5;1;4860.8;4;44;3.3;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4377442130;2022-07-13 10:30:21;171;1;15.8;1;4860.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4379270833;2022-07-13 10:30:37;329;2;3.1;1;4860.8;2;39;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4379629630;2022-07-13 10:30:40;360;1;17.9;1;4860.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4381701389;2022-07-13 10:30:58;539;2;52.5;1;4860.8;76;87;15.5;15.5;0.0;0.0;0.0;0.00;-0.00;
44755.4387777778;2022-07-13 10:31:50;1064;1;6.8;1;4860.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4388564815;2022-07-13 10:31:57;1132;2;5.3;1;4860.8;4;45;4.6;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4389178241;2022-07-13 10:32:03;1185;1;102.3;1;4860.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4401018519;2022-07-13 10:33:45;2208;2;1.2;1;4860.8;2;100;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4401157407;2022-07-13 10:33:46;2220;1;10.9;1;4860.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4402418981;2022-07-13 10:33:57;2329;2;10.6;1;4860.8;4;23;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4403645833;2022-07-13 10:34:08;2435;1;25.9;1;4860.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4406643519;2022-07-13 10:34:33;2694;2;9.8;1;4860.8;6;37;4.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4407777778;2022-07-13 10:34:43;2792;1;17.0;1;4860.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4409745370;2022-07-13 10:35:00;2962;2;31.3;1;4860.8;32;61;27.8;27.8;0.0;0.0;0.0;0.00;-0.00;
44755.4413368056;2022-07-13 10:35:32;3275;1;8.6;1;4860.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4414363426;2022-07-13 10:35:40;3361;2;22.4;1;4860.8;22;59;17.4;17.4;0.0;0.0;0.0;0.00;-0.00;
44755.4416956019;2022-07-13 10:36:03;3585;1;8.0;1;4860.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4417881944;2022-07-13 10:36:11;3665;2;25.9;1;4860.8;28;65;24.8;24.8;0.0;0.0;0.0;0.68;-0.00;
44755.4420879630;2022-07-13 10:36:36;3924;1;9.0;1;4860.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4421921296;2022-07-13 10:36:45;4014;2;5.8;1;4860.8;4;41;4.4;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4422592593;2022-07-13 10:36:51;4072;1;9.2;1;4860.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4423657407;2022-07-13 10:37:00;4164;2;44.8;1;4860.8;46;62;42.9;0.0;42.9;0.0;0.0;0.00;-0.00;
44755.4428842593;2022-07-13 10:37:45;4612;1;15.1;1;4860.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4430590278;2022-07-13 10:38:00;4763;2;1.6;1;4860.8;2;75;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4430775463;2022-07-13 10:38:02;4779;1;48.0;1;4860.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4436331019;2022-07-13 10:38:50;5259;2;8.9;1;4860.8;4;27;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4437361111;2022-07-13 10:38:59;5348;1;31.4;1;4860.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4440995370;2022-07-13 10:39:30;5662;2;2.2;1;4860.8;2;55;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4441250000;2022-07-13 10:39:32;5684;1;7.6;1;4860.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
