Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
44767.5208796296;2022-07-25 12:30:04;0;4;1008.2;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5325486111;2022-07-25 12:46:52;10082;0;163.8;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5344444444;2022-07-25 12:49:36;11720;1;8.7;1;40.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5345451389;2022-07-25 12:49:45;11807;2;30.6;1;40.1;28;55;12.5;0.0;0.0;0.0;0.0;0.00;-1.23;
44767.5348993056;2022-07-25 12:50:15;12113;1;0.8;1;40.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5349085648;2022-07-25 12:50:16;12121;0;29.8;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5352534722;2022-07-25 12:50:46;12419;1;1.0;2;114.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5352650463;2022-07-25 12:50:47;12429;2;95.6;2;114.5;128;80;26.2;51.3;0.0;0.0;0.0;0.71;-20.05;
44767.5363715278;2022-07-25 12:52:23;13385;1;14.4;2;114.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5365381944;2022-07-25 12:52:37;13529;2;2.0;2;114.5;2;60;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5365613426;2022-07-25 12:52:39;13549;1;1.5;2;114.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5365787037;2022-07-25 12:52:40;13564;0;158.4;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5384120370;2022-07-25 12:55:19;15148;1;82.6;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5393680556;2022-07-25 12:56:41;15974;2;3.0;3;18538.9;4;80;1.3;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5394027778;2022-07-25 12:56:44;16004;1;28.6;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5397337963;2022-07-25 12:57:13;16290;2;4.6;3;18538.9;2;26;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5397870370;2022-07-25 12:57:18;16336;1;14.5;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5399548611;2022-07-25 12:57:32;16481;2;134.0;3;18538.9;236;106;118.6;0.0;0.0;0.0;118.6;3.81;-2.84;
44767.5415057870;2022-07-25 12:59:46;17821;1;36.0;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5419224537;2022-07-25 13:00:22;18181;2;23.7;3;18538.9;36;91;22.4;22.4;0.0;0.0;0.0;0.96;-0.00;
44767.5421967593;2022-07-25 13:00:46;18418;1;15.5;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5423761574;2022-07-25 13:01:01;18573;2;9.3;3;18538.9;8;52;1.6;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5424837963;2022-07-25 13:01:11;18666;1;450.5;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5476979167;2022-07-25 13:08:41;23171;2;2.2;3;18538.9;4;109;1.3;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5477233796;2022-07-25 13:08:43;23193;1;2744.5;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5794884259;2022-07-25 13:54:28;50638;2;0.7;3;18538.9;2;171;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5794965278;2022-07-25 13:54:29;50645;1;165.6;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5814131944;2022-07-25 13:57:14;52301;2;1.0;3;18538.9;2;120;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.5814247685;2022-07-25 13:57:15;52311;1;2457.9;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6098726852;2022-07-25 14:38:13;76890;2;49.6;3;18538.9;74;90;14.0;0.0;0.0;0.0;0.0;2.22;-0.78;
44767.6104467593;2022-07-25 14:39:03;77386;1;70.1;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6112581019;2022-07-25 14:40:13;78087;2;5.2;3;18538.9;6;69;2.3;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6113182870;2022-07-25 14:40:18;78139;1;43.0;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6118159722;2022-07-25 14:41:01;78569;2;44.6;3;18538.9;54;73;12.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6123321759;2022-07-25 14:41:46;79015;1;2758.1;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6442546296;2022-07-25 15:27:44;106596;2;19.7;3;18538.9;30;91;7.2;0.0;0.0;0.0;0.0;0.00;-2.74;
44767.6444826389;2022-07-25 15:28:03;106793;1;16.8;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6446770833;2022-07-25 15:28:20;106961;2;8.9;3;18538.9;6;40;7.4;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6447800926;2022-07-25 15:28:29;107050;1;38.0;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6452199074;2022-07-25 15:29:07;107430;2;115.9;3;18538.9;200;104;56.1;0.0;0.0;56.1;0.0;0.50;-0.81;
44767.6465613426;2022-07-25 15:31:03;108589;1;36.4;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6469826389;2022-07-25 15:31:39;108953;2;46.3;3;18538.9;64;83;14.5;0.0;0.0;0.0;0.0;0.00;-0.83;
44767.6475185185;2022-07-25 15:32:26;109416;1;15.1;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6476932870;2022-07-25 15:32:41;109567;2;11.8;3;18538.9;12;61;8.5;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6478298611;2022-07-25 15:32:53;109685;1;12.1;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6479699074;2022-07-25 15:33:05;109806;2;3.9;3;18538.9;4;62;1.4;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6480150463;2022-07-25 15:33:09;109845;1;45.8;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6485451389;2022-07-25 15:33:54;110303;2;0.8;3;18538.9;2;150;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6485543981;2022-07-25 15:33:55;110311;1;76.9;3;18538.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44767.6494444444;2022-07-25 15:35:12;111080;2;7.7;3;18538.9;6;47;6.6;0.0;0.0;0.0;0.0;0.00;-0.00;
