Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
44777.5833680556;2022-08-04 14:00:03;0;1;7714.5;1;16309.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44777.6726562500;2022-08-04 16:08:38;77145;2;27.5;1;16309.2;42;92;5.4;0.0;0.0;0.0;0.0;0.00;-0.00;
44777.6729745370;2022-08-04 16:09:05;77420;1;60.4;1;16309.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44777.6736736111;2022-08-04 16:10:05;78024;2;5.9;1;16309.2;2;20;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44777.6737418982;2022-08-04 16:10:11;78083;1;51.5;1;16309.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44777.6743379630;2022-08-04 16:11:03;78598;2;3.2;1;16309.2;4;75;1.5;0.0;0.0;0.0;0.0;0.00;-0.00;
44777.6743750000;2022-08-04 16:11:06;78630;1;21.0;1;16309.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44777.6746180556;2022-08-04 16:11:27;78840;2;35.7;1;16309.2;40;67;20.5;20.5;0.0;0.0;0.0;7.46;-0.00;
44777.6750312500;2022-08-04 16:12:03;79197;1;671.2;1;16309.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44777.6827997685;2022-08-04 16:23:14;85909;2;32.3;1;16309.2;44;82;14.8;0.0;0.0;0.0;0.0;25.18;-0.00;
44777.6831736111;2022-08-04 16:23:46;86232;1;1103.1;1;16309.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44777.6959409722;2022-08-04 16:42:09;97263;2;0.7;1;16309.2;2;171;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
