Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
44782.0000462963;2022-08-09 00:00:04;0;1;1.0;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0000578704;2022-08-09 00:00:05;10;2;8.1;1;641.1;4;30;4.9;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0001516204;2022-08-09 00:00:13;91;1;8.0;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0002442130;2022-08-09 00:00:21;171;2;5.9;1;641.1;2;20;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0003125000;2022-08-09 00:00:27;230;1;91.1;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0013668981;2022-08-09 00:01:58;1141;2;5.3;1;641.1;2;23;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0014282407;2022-08-09 00:02:03;1194;1;77.2;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0023217593;2022-08-09 00:03:21;1966;2;4.3;1;641.1;2;28;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0023715278;2022-08-09 00:03:25;2009;1;16.1;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0025578704;2022-08-09 00:03:41;2170;2;1.7;1;641.1;2;71;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0025775463;2022-08-09 00:03:43;2187;1;7.7;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0026666667;2022-08-09 00:03:50;2264;2;12.2;1;641.1;12;59;2.1;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0028078704;2022-08-09 00:04:03;2386;1;34.0;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0032013889;2022-08-09 00:04:37;2726;2;4.6;1;641.1;6;78;3.2;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0032546296;2022-08-09 00:04:41;2772;1;21.0;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0034976852;2022-08-09 00:05:02;2982;2;28.6;1;641.1;30;63;10.4;0.0;0.0;0.0;0.0;0.00;-3.46;
44782.0038287037;2022-08-09 00:05:31;3268;1;35.2;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0042361111;2022-08-09 00:06:06;3620;2;1.5;1;641.1;2;80;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0042534722;2022-08-09 00:06:08;3635;1;7.2;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0043368056;2022-08-09 00:06:15;3707;2;1.5;1;641.1;2;80;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0043541667;2022-08-09 00:06:16;3722;1;16.4;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0045439815;2022-08-09 00:06:33;3886;2;9.1;1;641.1;8;53;6.8;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0046493056;2022-08-09 00:06:42;3977;1;25.5;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0049444444;2022-08-09 00:07:07;4232;2;8.2;1;641.1;4;29;5.3;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0050393519;2022-08-09 00:07:15;4314;1;26.0;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0053402778;2022-08-09 00:07:41;4574;2;4.5;1;641.1;4;53;2.2;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0053923611;2022-08-09 00:07:46;4619;1;82.2;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0063437500;2022-08-09 00:09:08;5441;2;2.9;1;641.1;2;41;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0063773148;2022-08-09 00:09:11;5470;1;16.0;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0065625000;2022-08-09 00:09:27;5630;2;31.2;1;641.1;38;73;7.2;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0069236111;2022-08-09 00:09:58;5942;1;7.5;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0070104167;2022-08-09 00:10:06;6017;2;4.4;1;641.1;2;27;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0070613426;2022-08-09 00:10:10;6061;1;35.0;1;641.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
