Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45105.7083796296;2023-06-28 17:00:04;0;0;393.1;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7129293981;2023-06-28 17:06:37;3931;1;2.8;1;625.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7129618056;2023-06-28 17:06:40;3959;2;8.4;1;625.7;8;57;7.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7130590278;2023-06-28 17:06:48;4043;1;8.4;1;625.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7131562500;2023-06-28 17:06:57;4127;2;6.9;1;625.7;6;52;2.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7132361111;2023-06-28 17:07:04;4196;1;12.8;1;625.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7133842593;2023-06-28 17:07:16;4324;2;1.4;1;625.7;2;86;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7134004630;2023-06-28 17:07:18;4338;1;9.7;1;625.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7135127315;2023-06-28 17:07:28;4435;2;14.2;1;625.7;18;76;4.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7136770833;2023-06-28 17:07:42;4577;1;7.1;1;625.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7137592593;2023-06-28 17:07:49;4648;2;10.3;1;625.7;16;93;5.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7138784722;2023-06-28 17:07:59;4751;1;9.7;1;625.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7139907407;2023-06-28 17:08:09;4848;2;3.9;1;625.7;8;123;0.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7140358796;2023-06-28 17:08:13;4887;1;15.7;1;625.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7142175926;2023-06-28 17:08:28;5044;2;2.9;1;625.7;2;41;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7142511574;2023-06-28 17:08:31;5073;1;13.6;1;625.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7144085648;2023-06-28 17:08:45;5209;2;12.8;1;625.7;18;84;10.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7145567130;2023-06-28 17:08:58;5337;1;221.5;1;625.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7171203704;2023-06-28 17:12:39;7552;2;9.8;1;625.7;12;73;2.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7172337963;2023-06-28 17:12:49;7650;1;24.6;1;625.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7175185185;2023-06-28 17:13:14;7896;2;7.9;1;625.7;4;30;2.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7176099537;2023-06-28 17:13:22;7975;1;165.8;1;625.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7195289352;2023-06-28 17:16:07;9633;2;23.0;1;625.7;28;73;9.7;0.0;0.0;0.0;0.0;4.27;-0.00;
45105.7197951389;2023-06-28 17:16:30;9863;1;10.9;1;625.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7199212963;2023-06-28 17:16:41;9972;2;6.5;1;625.7;6;55;1.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7199965278;2023-06-28 17:16:48;10037;1;7.5;1;625.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7200833333;2023-06-28 17:16:55;10112;2;6.2;1;625.7;6;58;3.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7201550926;2023-06-28 17:17:01;10174;1;1.4;1;625.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7201712963;2023-06-28 17:17:03;10188;0;437.6;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7252361111;2023-06-28 17:24:20;14564;1;10.4;2;1706.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7253564815;2023-06-28 17:24:31;14668;2;4.0;2;1706.4;4;60;1.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7254027778;2023-06-28 17:24:35;14708;1;21.7;2;1706.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7256539352;2023-06-28 17:24:57;14925;2;14.5;2;1706.4;14;58;3.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7258217593;2023-06-28 17:25:11;15070;1;8.3;2;1706.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7259178241;2023-06-28 17:25:19;15153;2;1.3;2;1706.4;2;92;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7259328704;2023-06-28 17:25:21;15166;1;550.6;2;1706.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7323055556;2023-06-28 17:34:31;20672;2;2.8;2;1706.4;4;86;1.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7323379630;2023-06-28 17:34:34;20700;1;9.2;2;1706.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7324444444;2023-06-28 17:34:43;20792;2;2.6;2;1706.4;4;92;1.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7324745370;2023-06-28 17:34:46;20818;1;58.3;2;1706.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7331493056;2023-06-28 17:35:44;21401;2;2.6;2;1706.4;2;46;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7331793982;2023-06-28 17:35:47;21427;1;78.7;2;1706.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7340902778;2023-06-28 17:37:05;22214;2;32.4;2;1706.4;32;59;9.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7344652778;2023-06-28 17:37:38;22538;1;32.9;2;1706.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7348460648;2023-06-28 17:38:11;22867;2;5.6;2;1706.4;4;43;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7349108796;2023-06-28 17:38:16;22923;1;14.0;2;1706.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7350729167;2023-06-28 17:38:30;23063;2;1.2;2;1706.4;2;100;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7350868056;2023-06-28 17:38:32;23075;1;742.7;2;1706.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7436828704;2023-06-28 17:50:54;30502;2;8.9;2;1706.4;14;94;4.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7437858796;2023-06-28 17:51:03;30591;1;66.9;2;1706.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7445601852;2023-06-28 17:52:10;31260;2;3.8;2;1706.4;6;95;2.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7446041667;2023-06-28 17:52:14;31298;1;15.1;2;1706.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7447789352;2023-06-28 17:52:29;31449;2;8.6;2;1706.4;4;28;2.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7448784722;2023-06-28 17:52:38;31535;1;9.3;2;1706.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
