Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45130.5833680556;2023-07-23 14:00:03;0;1;179.6;1;3211.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5854467593;2023-07-23 14:03:03;1796;2;1.8;1;3211.2;2;67;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5854675926;2023-07-23 14:03:04;1814;1;25.2;1;3211.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5857592593;2023-07-23 14:03:30;2066;2;3.4;1;3211.2;2;35;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5857986111;2023-07-23 14:03:33;2100;1;11.4;1;3211.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5859305556;2023-07-23 14:03:44;2214;2;1.8;1;3211.2;4;133;0.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5859513889;2023-07-23 14:03:46;2232;1;29.2;1;3211.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5862893519;2023-07-23 14:04:15;2524;2;1.2;1;3211.2;2;100;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5863032407;2023-07-23 14:04:17;2536;1;38.3;1;3211.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5867465278;2023-07-23 14:04:55;2919;2;6.3;1;3211.2;4;38;1.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5868194444;2023-07-23 14:05:01;2982;1;221.1;1;3211.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
