Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45153.7500347222;2023-08-15 18:00:03;0;1;127.0;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7515046296;2023-08-15 18:02:10;1270;2;1.2;1;18782.7;2;100;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7515185185;2023-08-15 18:02:11;1282;1;20.0;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7517500000;2023-08-15 18:02:31;1482;2;1.4;1;18782.7;2;86;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7517662037;2023-08-15 18:02:33;1496;1;652.4;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7593171296;2023-08-15 18:13:25;8020;2;3.3;1;18782.7;2;36;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7593553241;2023-08-15 18:13:28;8053;1;661.9;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7670162037;2023-08-15 18:24:30;14672;2;8.2;1;18782.7;8;59;6.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7671111111;2023-08-15 18:24:38;14754;1;31.6;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7674768519;2023-08-15 18:25:10;15070;2;6.5;1;18782.7;8;74;4.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7675520833;2023-08-15 18:25:17;15135;1;17.4;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7677534722;2023-08-15 18:25:34;15309;2;2.9;1;18782.7;2;41;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7677870370;2023-08-15 18:25:37;15338;1;15.7;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7679687500;2023-08-15 18:25:53;15495;2;25.0;1;18782.7;32;77;8.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7682581019;2023-08-15 18:26:18;15745;1;13.9;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7684189815;2023-08-15 18:26:31;15884;2;20.9;1;18782.7;14;40;6.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7686608796;2023-08-15 18:26:52;16093;1;67.5;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7694421296;2023-08-15 18:28:00;16768;2;8.1;1;18782.7;10;74;3.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7695358796;2023-08-15 18:28:08;16849;1;25.9;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7698356481;2023-08-15 18:28:34;17108;2;7.7;1;18782.7;4;31;3.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7699247685;2023-08-15 18:28:42;17185;1;83.9;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7708958333;2023-08-15 18:30:05;18024;2;6.4;1;18782.7;4;38;2.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7709699074;2023-08-15 18:30:12;18088;1;60.5;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7716701389;2023-08-15 18:31:12;18693;2;4.8;1;18782.7;4;50;2.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7717256944;2023-08-15 18:31:17;18741;1;12.7;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7718726852;2023-08-15 18:31:30;18868;2;2.2;1;18782.7;2;55;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7718981482;2023-08-15 18:31:32;18890;1;302.1;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7753946759;2023-08-15 18:36:34;21911;2;6.2;1;18782.7;4;39;3.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7754664352;2023-08-15 18:36:40;21973;1;82.0;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7764155093;2023-08-15 18:38:02;22793;2;5.0;1;18782.7;4;48;3.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7764733796;2023-08-15 18:38:07;22843;1;7.3;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7765578704;2023-08-15 18:38:15;22916;2;5.5;1;18782.7;2;22;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7766215278;2023-08-15 18:38:20;22971;1;9.4;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7767303241;2023-08-15 18:38:30;23065;2;8.5;1;18782.7;10;71;3.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7768287037;2023-08-15 18:38:38;23150;1;13.7;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7769872685;2023-08-15 18:38:52;23287;2;6.0;1;18782.7;6;60;4.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7770567130;2023-08-15 18:38:58;23347;1;7.1;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7771388889;2023-08-15 18:39:05;23418;2;1.9;1;18782.7;2;63;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7771608796;2023-08-15 18:39:07;23437;1;7.7;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7772500000;2023-08-15 18:39:14;23514;2;1.8;1;18782.7;2;67;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7772708333;2023-08-15 18:39:16;23532;1;26.4;1;18782.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7775763889;2023-08-15 18:39:43;23796;2;5.2;1;18782.7;6;69;3.5;0.0;0.0;0.0;0.0;0.00;-0.00;
