Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45311.5417245370;2024-01-20 13:00:05;0;0;716.2;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5500138889;2024-01-20 13:12:01;7162;1;0.4;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5500185185;2024-01-20 13:12:02;7166;2;11.1;1;3505.4;10;54;8.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5501469907;2024-01-20 13:12:13;7277;1;78.7;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5510578704;2024-01-20 13:13:31;8064;2;3.4;1;3505.4;2;35;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5510972222;2024-01-20 13:13:35;8098;1;17.9;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5513043981;2024-01-20 13:13:53;8277;2;2.2;1;3505.4;2;55;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5513298611;2024-01-20 13:13:55;8299;1;7.1;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5514120370;2024-01-20 13:14:02;8370;2;3.4;1;3505.4;2;35;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5514513889;2024-01-20 13:14:05;8404;1;23.5;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5517233796;2024-01-20 13:14:29;8639;2;3.8;1;3505.4;6;95;1.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5517673611;2024-01-20 13:14:33;8677;1;49.8;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5523437500;2024-01-20 13:15:23;9175;2;4.5;1;3505.4;2;27;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5523958333;2024-01-20 13:15:27;9220;1;93.0;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5534722222;2024-01-20 13:17:00;10150;2;5.5;1;3505.4;8;87;2.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5535358796;2024-01-20 13:17:06;10205;1;10.3;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5536550926;2024-01-20 13:17:16;10308;2;1.7;1;3505.4;2;71;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5536747685;2024-01-20 13:17:18;10325;1;73.3;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5545231481;2024-01-20 13:18:31;11058;2;1.2;1;3505.4;2;100;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5545370370;2024-01-20 13:18:32;11070;1;51.7;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5551354167;2024-01-20 13:19:24;11587;2;2.0;1;3505.4;2;60;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5551585648;2024-01-20 13:19:26;11607;1;56.7;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5558148148;2024-01-20 13:20:22;12174;2;3.3;1;3505.4;4;73;2.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5558530093;2024-01-20 13:20:26;12207;1;23.8;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5561284722;2024-01-20 13:20:50;12445;2;10.2;1;3505.4;10;59;1.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5562465278;2024-01-20 13:21:00;12547;1;93.1;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5573240741;2024-01-20 13:22:33;13478;2;1.7;1;3505.4;2;71;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5573437500;2024-01-20 13:22:35;13495;1;9.5;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5574537037;2024-01-20 13:22:44;13590;2;9.8;1;3505.4;10;61;2.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5575671296;2024-01-20 13:22:54;13688;1;15.1;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5577418981;2024-01-20 13:23:09;13839;2;9.5;1;3505.4;6;38;3.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5578518518;2024-01-20 13:23:18;13934;1;51.1;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5584432870;2024-01-20 13:24:10;14445;2;4.8;1;3505.4;6;75;3.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5584988426;2024-01-20 13:24:14;14493;1;119.0;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5598761574;2024-01-20 13:26:13;15683;2;3.1;1;3505.4;2;39;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5599120370;2024-01-20 13:26:16;15714;1;11.1;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5600405093;2024-01-20 13:26:28;15825;2;10.6;1;3505.4;14;79;2.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5601631944;2024-01-20 13:26:38;15931;1;9.4;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5602719907;2024-01-20 13:26:48;16025;2;7.6;1;3505.4;10;79;4.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5603599537;2024-01-20 13:26:55;16101;1;341.4;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5643113426;2024-01-20 13:32:37;19515;2;11.1;1;3505.4;14;76;4.7;0.0;0.0;0.0;0.0;0.48;-0.00;
45311.5644398148;2024-01-20 13:32:48;19626;1;98.6;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5655810185;2024-01-20 13:34:26;20612;2;5.6;1;3505.4;4;43;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5656458333;2024-01-20 13:34:32;20668;1;32.5;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5660219907;2024-01-20 13:35:04;20993;2;1.2;1;3505.4;2;100;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5660358796;2024-01-20 13:35:06;21005;1;10.8;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5661608796;2024-01-20 13:35:16;21113;2;1.7;1;3505.4;2;71;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5661805556;2024-01-20 13:35:18;21130;1;25.6;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5664768518;2024-01-20 13:35:44;21386;2;4.1;1;3505.4;2;29;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5665243056;2024-01-20 13:35:48;21427;1;10.8;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5666493056;2024-01-20 13:35:59;21535;2;5.7;1;3505.4;4;42;1.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5667152778;2024-01-20 13:36:04;21592;1;107.6;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5679606481;2024-01-20 13:37:52;22668;2;13.1;1;3505.4;20;92;3.6;0.0;0.0;0.0;0.0;1.68;-0.00;
45311.5681122685;2024-01-20 13:38:05;22799;1;13.1;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5682638889;2024-01-20 13:38:18;22930;2;10.3;1;3505.4;6;35;5.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5683831018;2024-01-20 13:38:28;23033;1;112.5;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5696851852;2024-01-20 13:40:21;24158;2;3.0;1;3505.4;2;40;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5697199074;2024-01-20 13:40:24;24188;1;45.1;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5702418981;2024-01-20 13:41:09;24639;2;7.2;1;3505.4;12;100;4.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5703252315;2024-01-20 13:41:16;24711;1;1052.8;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5825104167;2024-01-20 13:58:49;35239;2;6.6;1;3505.4;4;36;5.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5825868056;2024-01-20 13:58:56;35305;1;691.1;1;3505.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5905856481;2024-01-20 14:10:27;42216;0;219.8;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5931296296;2024-01-20 14:14:06;44414;1;0.7;2;86.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5931377315;2024-01-20 14:14:07;44421;2;4.6;2;86.8;8;104;3.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5931909722;2024-01-20 14:14:12;44467;1;76.1;2;86.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45311.5940717593;2024-01-20 14:15:28;45228;2;5.1;2;86.8;10;118;3.3;0.0;0.0;0.0;0.0;0.00;-0.00;
