Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45329.6250000000;2024-02-07 15:00:00;0;1;0.4;1;1319.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45329.6250046296;2024-02-07 15:00:00;4;2.1;312.7;1;1319.1;524;101;219.1;0.0;32.9;54.5;219.1;15.54;-11.81;
45329.6286238426;2024-02-07 15:05:13;3131;1;7.1;1;1319.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45329.6287060185;2024-02-07 15:05:20;3202;2;3.5;1;1319.1;4;69;1.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45329.6287465278;2024-02-07 15:05:24;3237;1;193.5;1;1319.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45329.6309861111;2024-02-07 15:08:37;5172;2;2.7;1;1319.1;2;44;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45329.6310173611;2024-02-07 15:08:40;5199;1;40.0;1;1319.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45329.6314803241;2024-02-07 15:09:20;5599;2;4.4;1;1319.1;2;27;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45329.6315312500;2024-02-07 15:09:24;5643;1;58.3;1;1319.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45329.6322060185;2024-02-07 15:10:23;6226;2;11.4;1;1319.1;12;63;10.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45329.6323379630;2024-02-07 15:10:34;6340;1;47.1;1;1319.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45329.6328831019;2024-02-07 15:11:21;6811;2;2.9;1;1319.1;2;41;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45329.6329166667;2024-02-07 15:11:24;6840;1;74.1;1;1319.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45329.6337743056;2024-02-07 15:12:38;7581;2;11.3;1;1319.1;6;32;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45329.6339050926;2024-02-07 15:12:49;7694;1;8.7;1;1319.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
