Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45376.4167129630;2024-03-25 10:00:04;0;1;8.9;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4168159722;2024-03-25 10:00:13;89;2;91.7;1;16548.2;168;110;43.3;15.2;43.3;0.0;0.0;0.95;-0.00;
45376.4178773148;2024-03-25 10:01:45;1006;1;125.0;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4193240741;2024-03-25 10:03:50;2256;2;2.4;1;16548.2;2;50;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4193518519;2024-03-25 10:03:52;2280;1;11.8;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4194884259;2024-03-25 10:04:04;2398;2;5.2;1;16548.2;2;23;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4195486111;2024-03-25 10:04:09;2450;1;17.3;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4197488426;2024-03-25 10:04:26;2623;2;9.9;1;16548.2;6;36;4.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4198634259;2024-03-25 10:04:36;2722;1;126.1;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4213229167;2024-03-25 10:06:42;3983;2;1.3;1;16548.2;2;92;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4213379630;2024-03-25 10:06:44;3996;1;8.4;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4214351852;2024-03-25 10:06:52;4080;2;5.7;1;16548.2;2;21;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4215011574;2024-03-25 10:06:58;4137;1;82.9;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4224606482;2024-03-25 10:08:21;4966;2;2.9;1;16548.2;2;41;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4224942130;2024-03-25 10:08:24;4995;1;10.3;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4226134259;2024-03-25 10:08:34;5098;2;5.1;1;16548.2;4;47;0.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4226724537;2024-03-25 10:08:39;5149;1;52.6;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4232812500;2024-03-25 10:09:32;5675;2;1.2;1;16548.2;2;100;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4232951389;2024-03-25 10:09:33;5687;1;100.9;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4244629630;2024-03-25 10:11:14;6696;2;0.9;1;16548.2;2;133;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4244733796;2024-03-25 10:11:15;6705;1;154.4;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4262604167;2024-03-25 10:13:49;8249;2;2.0;1;16548.2;2;60;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4262835648;2024-03-25 10:13:51;8269;1;237.1;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4290277778;2024-03-25 10:17:48;10640;2;32.2;1;16548.2;56;104;25.5;25.5;0.0;0.0;0.0;0.41;-0.00;
45376.4294004630;2024-03-25 10:18:20;10962;1;41.9;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4298854167;2024-03-25 10:19:02;11381;2;22.0;1;16548.2;34;93;20.9;20.9;0.0;0.0;0.0;1.74;-0.00;
45376.4301400463;2024-03-25 10:19:24;11601;1;15.4;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4303182870;2024-03-25 10:19:40;11755;2;7.3;1;16548.2;10;82;1.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4304027778;2024-03-25 10:19:47;11828;1;9.1;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4305081019;2024-03-25 10:19:56;11919;2;1.0;1;16548.2;2;120;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4305196759;2024-03-25 10:19:57;11929;1;9.2;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4306261574;2024-03-25 10:20:06;12021;2;5.6;1;16548.2;2;21;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4306909722;2024-03-25 10:20:12;12077;1;39.9;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4311527778;2024-03-25 10:20:52;12476;2;3.6;1;16548.2;2;33;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4311944444;2024-03-25 10:20:55;12512;1;83.9;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4321655093;2024-03-25 10:22:19;13351;2;3.9;1;16548.2;4;62;1.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4322106481;2024-03-25 10:22:23;13390;1;15.5;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4323900463;2024-03-25 10:22:39;13545;2;7.8;1;16548.2;4;31;2.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4324803241;2024-03-25 10:22:46;13623;1;28.9;1;16548.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
