Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45399.6667129630;2024-04-17 16:00:04;0;0;230.9;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6693854167;2024-04-17 16:03:55;2309;1;1.1;1;106.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6693981482;2024-04-17 16:03:56;2320;2;16.5;1;106.8;20;73;5.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6695891204;2024-04-17 16:04:13;2485;1;10.2;1;106.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6697071759;2024-04-17 16:04:23;2587;2;25.8;1;106.8;28;65;2.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6700057870;2024-04-17 16:04:49;2845;1;6.9;1;106.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6700856481;2024-04-17 16:04:55;2914;2;23.7;1;106.8;30;76;9.4;0.0;0.0;0.0;0.0;0.00;-2.11;
45399.6703599537;2024-04-17 16:05:19;3151;1;16.7;1;106.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6705532407;2024-04-17 16:05:36;3318;2;4.7;1;106.8;2;26;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6706076389;2024-04-17 16:05:41;3365;1;1.2;1;106.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6706215278;2024-04-17 16:05:42;3377;0;428.5;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6755810185;2024-04-17 16:12:50;7662;1;0.6;2;36.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6755879630;2024-04-17 16:12:51;7668;2;4.9;2;36.1;8;98;3.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6756446759;2024-04-17 16:12:56;7717;1;6.9;2;36.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6757245370;2024-04-17 16:13:03;7786;2;23.3;2;36.1;28;72;5.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6759942130;2024-04-17 16:13:26;8019;1;0.4;2;36.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6759988426;2024-04-17 16:13:26;8023;0;127.8;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6774780093;2024-04-17 16:15:34;9301;1;20.6;3;20.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6777164352;2024-04-17 16:15:55;9507;0;391.9;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6822523148;2024-04-17 16:22:27;13426;1;1.3;4;23.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
