Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
44754.4583680556;2022-07-12 11:00:03;0;5;4321.6;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44754.5083865741;2022-07-12 12:12:05;43216;1;2.5;1;90.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44754.5084155093;2022-07-12 12:12:07;43241;2;4.3;1;90.3;6;84;3.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44754.5084652778;2022-07-12 12:12:11;43284;1;7.2;1;90.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44754.5085486111;2022-07-12 12:12:19;43356;2;40.3;1;90.3;60;89;23.7;23.7;0.0;0.0;0.0;0.00;-6.05;
44754.5090150463;2022-07-12 12:12:59;43759;1;20.1;1;90.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44754.5092476852;2022-07-12 12:13:19;43960;2;2.7;1;90.3;4;89;1.4;0.0;0.0;0.0;0.0;0.00;-0.00;
44754.5092789352;2022-07-12 12:13:22;43987;1;10.8;1;90.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44754.5094039352;2022-07-12 12:13:33;44095;2;1.9;1;90.3;4;126;1.1;0.0;0.0;0.0;0.0;0.00;-0.00;
44754.5094259259;2022-07-12 12:13:34;44114;1;0.5;1;90.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44754.5094317130;2022-07-12 12:13:35;44119;0;806.7;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
