Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
44755.4375578704;2022-07-13 10:30:05;0;1;12.6;1;107.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4377037037;2022-07-13 10:30:18;126;2;3.2;1;107.1;2;38;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4377407407;2022-07-13 10:30:21;158;1;38.9;1;107.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4381909722;2022-07-13 10:31:00;547;2;50.1;1;107.1;72;86;19.7;19.7;0.0;0.0;0.0;0.86;-0.00;
44755.4387708333;2022-07-13 10:31:50;1048;1;2.3;1;107.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4387974537;2022-07-13 10:31:52;1071;5;1123.8;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4518043981;2022-07-13 10:50:36;12309;1;3.7;2;57.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4518472222;2022-07-13 10:50:40;12346;2;3.1;2;57.1;2;39;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4518831019;2022-07-13 10:50:43;12377;1;50.3;2;57.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4524652778;2022-07-13 10:51:33;12880;0;1944.1;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4749664352;2022-07-13 11:23:57;32321;1;89.5;3;89.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4760023148;2022-07-13 11:25:27;33216;0;812.9;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4854108796;2022-07-13 11:39:00;41345;1;322.5;4;322.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4891435185;2022-07-13 11:44:22;44570;0;185.9;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4912951389;2022-07-13 11:47:28;46429;1;110.0;5;110.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4925682870;2022-07-13 11:49:18;47529;0;107.9;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4938171296;2022-07-13 11:51:06;48608;1;12.6;6;371.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4939629630;2022-07-13 11:51:18;48734;2;7.8;6;371.7;6;46;3.4;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4940532407;2022-07-13 11:51:26;48812;1;7.5;6;371.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4941400463;2022-07-13 11:51:34;48887;2;6.0;6;371.7;12;120;2.9;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4942094907;2022-07-13 11:51:40;48947;1;7.4;6;371.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4942951389;2022-07-13 11:51:47;49021;2;227.6;6;371.7;358;94;27.8;47.9;0.0;0.0;0.0;8.61;-4.30;
44755.4969293981;2022-07-13 11:55:35;51297;1;7.2;6;371.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4970127315;2022-07-13 11:55:42;51369;2;61.5;6;371.7;98;96;8.9;0.0;0.0;0.0;0.0;0.00;-3.20;
44755.4977245370;2022-07-13 11:56:43;51984;1;34.1;6;371.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.4981192130;2022-07-13 11:57:18;52325;0;3303.6;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5363553241;2022-07-13 12:52:21;85361;1;3.4;7;831.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5363946759;2022-07-13 12:52:25;85395;2;5.8;7;831.7;2;21;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5364618056;2022-07-13 12:52:30;85453;1;8.2;7;831.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5365567130;2022-07-13 12:52:39;85535;2;228.8;7;831.7;370;97;30.8;33.5;30.8;0.0;0.0;12.35;-6.02;
44755.5392048611;2022-07-13 12:56:27;87823;1;55.4;7;831.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5398460648;2022-07-13 12:57:23;88377;2;161.7;7;831.7;268;99;32.3;17.2;32.3;0.0;0.0;4.13;-4.15;
44755.5417175926;2022-07-13 13:00:04;89994;1;6.8;7;831.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5417962963;2022-07-13 13:00:11;90062;2;15.7;7;831.7;14;54;4.5;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5419780093;2022-07-13 13:00:27;90219;1;57.4;7;831.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5426423611;2022-07-13 13:01:24;90793;2;10.6;7;831.7;18;102;9.1;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5427650463;2022-07-13 13:01:35;90899;1;55.4;7;831.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5434062500;2022-07-13 13:02:30;91453;2;162.7;7;831.7;282;104;41.4;16.1;41.4;0.0;0.0;14.13;-4.59;
44755.5452893519;2022-07-13 13:05:13;93080;1;21.9;7;831.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5455428241;2022-07-13 13:05:35;93299;2;37.0;7;831.7;60;97;15.5;15.5;0.0;0.0;0.0;0.00;-0.00;
44755.5459710648;2022-07-13 13:06:12;93669;1;0.9;7;831.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5459814815;2022-07-13 13:06:13;93678;5;746.6;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5546226852;2022-07-13 13:18:39;101144;1;2.6;8;39.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5546527778;2022-07-13 13:18:42;101170;2;36.2;8;39.5;60;99;14.7;0.0;0.0;0.0;0.0;1.83;-0.00;
44755.5550717593;2022-07-13 13:19:18;101532;1;0.7;8;39.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5550798611;2022-07-13 13:19:19;101539;0;40.2;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5555451389;2022-07-13 13:19:59;101941;1;9.6;9;93.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5556562500;2022-07-13 13:20:09;102037;2;5.2;9;93.0;4;46;0.8;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5557164352;2022-07-13 13:20:14;102089;1;22.7;9;93.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5559791667;2022-07-13 13:20:37;102316;2;29.9;9;93.0;54;108;15.7;15.7;0.0;0.0;0.0;3.00;-0.53;
44755.5563252315;2022-07-13 13:21:07;102615;1;18.7;9;93.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5565416667;2022-07-13 13:21:25;102802;2;6.6;9;93.0;6;55;2.2;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5566180556;2022-07-13 13:21:32;102868;1;0.3;9;93.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5566215278;2022-07-13 13:21:32;102871;0;472.4;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5620891204;2022-07-13 13:29:25;107595;1;3.8;10;55.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5621331018;2022-07-13 13:29:28;107633;2;41.1;10;55.2;62;91;29.5;29.5;0.0;0.0;0.0;3.63;-1.48;
44755.5626087963;2022-07-13 13:30:09;108044;1;10.3;10;55.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5627280093;2022-07-13 13:30:20;108147;0;1908.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5848113426;2022-07-13 14:02:08;127227;1;2.6;11;222.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5848414352;2022-07-13 14:02:10;127253;2;4.5;11;222.1;2;27;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5848935185;2022-07-13 14:02:15;127298;1;17.3;11;222.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5850937500;2022-07-13 14:02:32;127471;2;13.1;11;222.1;12;55;5.3;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5852453704;2022-07-13 14:02:45;127602;1;12.7;11;222.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5853923611;2022-07-13 14:02:58;127729;2;120.6;11;222.1;230;114;24.0;42.6;0.0;0.0;0.0;9.35;-6.76;
44755.5867881944;2022-07-13 14:04:59;128935;1;35.0;11;222.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5871932870;2022-07-13 14:05:34;129285;2;16.0;11;222.1;16;60;5.6;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5873784722;2022-07-13 14:05:50;129445;1;0.3;11;222.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44755.5873819444;2022-07-13 14:05:50;129448;5;775.3;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
