Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
44764.7083796296;2022-07-22 17:00:04;0;1;0.6;1;63.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7083865741;2022-07-22 17:00:05;6;2;11.0;1;63.1;14;76;9.8;0.0;0.0;0.0;0.0;5.69;-0.00;
44764.7085138889;2022-07-22 17:00:16;116;1;11.9;1;63.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7086516204;2022-07-22 17:00:28;235;2;22.6;1;63.1;32;85;6.1;0.0;0.0;0.0;0.0;3.89;-2.83;
44764.7089131944;2022-07-22 17:00:50;461;1;17.0;1;63.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7091099537;2022-07-22 17:01:07;631;0;426.5;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7140462963;2022-07-22 17:08:14;4896;1;27.9;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7143692130;2022-07-22 17:08:42;5175;2;5.5;2;1197.8;2;22;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7144328704;2022-07-22 17:08:47;5230;1;30.9;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7147905093;2022-07-22 17:09:18;5539;2;225.9;2;1197.8;438;116;52.2;78.5;0.0;52.2;0.0;11.09;-18.96;
44764.7174050926;2022-07-22 17:13:04;7798;1;31.4;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7177685185;2022-07-22 17:13:35;8112;2;2.9;2;1197.8;4;83;0.7;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7178020833;2022-07-22 17:13:38;8141;1;37.0;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7182303241;2022-07-22 17:14:15;8511;2;0.7;2;1197.8;2;171;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7182384259;2022-07-22 17:14:16;8518;1;10.3;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7183576389;2022-07-22 17:14:26;8621;2;10.9;2;1197.8;8;44;1.5;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7184837963;2022-07-22 17:14:37;8730;1;9.7;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7185960648;2022-07-22 17:14:47;8827;2;64.1;2;1197.8;80;75;20.3;20.3;0.0;0.0;0.0;1.51;-0.00;
44764.7193379630;2022-07-22 17:15:51;9468;1;31.0;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7196967593;2022-07-22 17:16:22;9778;2;7.3;2;1197.8;6;49;1.3;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7197812500;2022-07-22 17:16:29;9851;1;9.2;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7198877315;2022-07-22 17:16:38;9943;2;2.3;2;1197.8;2;52;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7199143519;2022-07-22 17:16:41;9966;1;29.1;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7202511574;2022-07-22 17:17:10;10257;2;4.1;2;1197.8;2;29;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7202986111;2022-07-22 17:17:14;10298;1;21.7;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7205497685;2022-07-22 17:17:36;10515;2;2.1;2;1197.8;2;57;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7205740741;2022-07-22 17:17:38;10536;1;27.8;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7208958333;2022-07-22 17:18:05;10814;2;2.8;2;1197.8;2;43;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7209282407;2022-07-22 17:18:08;10842;1;7.8;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7210185185;2022-07-22 17:18:16;10920;2;4.9;2;1197.8;4;49;1.1;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7210752315;2022-07-22 17:18:21;10969;1;45.0;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7215960648;2022-07-22 17:19:06;11419;2;1.4;2;1197.8;2;86;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7216122685;2022-07-22 17:19:07;11433;1;25.9;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7219120370;2022-07-22 17:19:33;11692;2;21.7;2;1197.8;12;33;6.7;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7221631944;2022-07-22 17:19:55;11909;1;18.9;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7223819444;2022-07-22 17:20:14;12098;2;3.9;2;1197.8;2;31;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7224270833;2022-07-22 17:20:18;12137;1;26.8;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7227372685;2022-07-22 17:20:45;12405;2;0.9;2;1197.8;2;133;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7227476852;2022-07-22 17:20:45;12414;1;36.6;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7231712963;2022-07-22 17:21:22;12780;2;2.8;2;1197.8;2;43;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7232037037;2022-07-22 17:21:25;12808;1;12.3;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7233460648;2022-07-22 17:21:37;12931;2;7.3;2;1197.8;4;33;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7234305556;2022-07-22 17:21:44;13004;1;32.7;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7238090278;2022-07-22 17:22:17;13331;2;1.4;2;1197.8;2;86;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7238252315;2022-07-22 17:22:19;13345;1;36.1;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7242430556;2022-07-22 17:22:55;13706;2;32.1;2;1197.8;46;86;29.6;29.6;0.0;0.0;0.0;0.00;-0.00;
44764.7246145833;2022-07-22 17:23:27;14027;1;13.6;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7247719907;2022-07-22 17:23:40;14163;2;15.0;2;1197.8;14;56;1.9;0.0;0.0;0.0;0.0;0.00;-0.96;
44764.7249456018;2022-07-22 17:23:55;14313;1;6.8;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7250243056;2022-07-22 17:24:02;14381;2;7.2;2;1197.8;4;33;4.2;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7251076389;2022-07-22 17:24:09;14453;1;16.1;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7252939815;2022-07-22 17:24:25;14614;2;6.7;2;1197.8;6;54;2.9;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7253715278;2022-07-22 17:24:32;14681;1;29.2;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7257094907;2022-07-22 17:25:01;14973;2;5.0;2;1197.8;2;24;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7257673611;2022-07-22 17:25:06;15023;1;11.0;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7258946759;2022-07-22 17:25:17;15133;2;0.8;2;1197.8;2;150;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7259039352;2022-07-22 17:25:18;15141;1;7.2;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7259872685;2022-07-22 17:25:25;15213;2;10.8;2;1197.8;10;56;2.9;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7261122685;2022-07-22 17:25:36;15321;1;24.3;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7263935185;2022-07-22 17:26:00;15564;2;6.2;2;1197.8;4;39;2.7;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7264652778;2022-07-22 17:26:07;15626;1;7.2;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7265486111;2022-07-22 17:26:14;15698;2;60.8;2;1197.8;76;75;23.6;23.6;0.0;0.0;0.0;0.00;-0.00;
44764.7272523148;2022-07-22 17:27:15;16306;1;44.5;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7277673611;2022-07-22 17:27:59;16751;2;9.1;2;1197.8;16;105;8.4;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7278726852;2022-07-22 17:28:08;16842;1;3.2;2;1197.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7279097222;2022-07-22 17:28:11;16874;5;950.3;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7389085648;2022-07-22 17:44:02;26377;1;1.3;3;3409.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7389236111;2022-07-22 17:44:03;26390;2;7.2;3;3409.4;8;67;1.4;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7390069444;2022-07-22 17:44:10;26462;1;56.6;3;3409.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7396620370;2022-07-22 17:45:07;27028;2;198.5;3;3409.4;360;109;115.9;15.6;0.0;0.0;115.9;10.11;-8.83;
44764.7419594907;2022-07-22 17:48:25;29013;1;37.4;3;3409.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44764.7423923611;2022-07-22 17:49:03;29387;2;15.0;3;3409.4;26;104;7.3;0.0;0.0;0.0;0.0;0.00;-0.00;
