Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
44782.0000347222;2022-08-09 00:00:03;0;0;6.4;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0001087963;2022-08-09 00:00:09;64;1;3.4;1;141.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0001481482;2022-08-09 00:00:13;98;2;0.9;1;141.0;2;133;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0001585648;2022-08-09 00:00:14;107;1;7.1;1;141.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0002407407;2022-08-09 00:00:21;178;2;5.9;1;141.0;2;20;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0003090278;2022-08-09 00:00:27;237;1;29.3;1;141.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0006481481;2022-08-09 00:00:56;530;2;1.5;1;141.0;2;80;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0006655093;2022-08-09 00:00:58;545;1;89.7;1;141.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0017037037;2022-08-09 00:02:27;1442;2;2.4;1;141.0;2;50;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0017314815;2022-08-09 00:02:30;1466;1;0.8;1;141.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0017407407;2022-08-09 00:02:30;1474;0;51.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0023310185;2022-08-09 00:03:21;1984;1;19.5;2;42.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0025567130;2022-08-09 00:03:41;2179;2;1.4;2;42.0;2;86;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0025729167;2022-08-09 00:03:42;2193;1;7.7;2;42.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0026620370;2022-08-09 00:03:50;2270;2;5.4;2;42.0;6;67;3.4;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0027245370;2022-08-09 00:03:55;2324;1;8.0;2;42.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0028171296;2022-08-09 00:04:03;2404;0;31.5;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0031817130;2022-08-09 00:04:35;2719;1;3.1;3;331.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0032175926;2022-08-09 00:04:38;2750;2;7.8;3;331.9;4;31;2.9;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0033078704;2022-08-09 00:04:46;2828;1;23.2;3;331.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0035763889;2022-08-09 00:05:09;3060;2;18.1;3;331.9;26;86;11.9;0.0;0.0;0.0;0.0;0.00;-2.22;
44782.0037858796;2022-08-09 00:05:27;3241;1;37.0;3;331.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0042141204;2022-08-09 00:06:04;3611;2;3.1;3;331.9;4;77;1.7;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0042500000;2022-08-09 00:06:07;3642;1;25.1;3;331.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0045405093;2022-08-09 00:06:32;3893;2;5.6;3;331.9;2;21;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0046053241;2022-08-09 00:06:38;3949;1;63.9;3;331.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0053449074;2022-08-09 00:07:42;4588;2;6.8;3;331.9;4;35;2.1;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0054236111;2022-08-09 00:07:49;4656;1;80.8;3;331.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0063587963;2022-08-09 00:09:09;5464;2;1.3;3;331.9;2;92;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0063738426;2022-08-09 00:09:11;5477;1;20.9;3;331.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0066157407;2022-08-09 00:09:32;5686;2;34.0;3;331.9;38;67;6.4;0.0;0.0;0.0;0.0;3.03;-0.00;
44782.0070092593;2022-08-09 00:10:06;6026;1;1.2;3;331.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0070231482;2022-08-09 00:10:07;6038;0;461.5;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0123645833;2022-08-09 00:17:48;10653;1;2.0;4;53.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0123877315;2022-08-09 00:17:50;10673;2;7.3;4;53.5;8;66;4.9;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0124722222;2022-08-09 00:17:58;10746;1;44.2;4;53.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0129837963;2022-08-09 00:18:42;11188;0;74.9;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0138506944;2022-08-09 00:19:57;11937;1;22.0;5;128.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0141053241;2022-08-09 00:20:19;12157;2;16.6;5;128.2;14;51;3.5;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0142974537;2022-08-09 00:20:35;12323;1;25.5;5;128.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0145925926;2022-08-09 00:21:01;12578;2;6.3;5;128.2;4;38;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
44782.0146655093;2022-08-09 00:21:07;12641;1;10.4;5;128.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
