Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45105.7083680556;2023-06-28 17:00:03;0;0;391.4;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7128981482;2023-06-28 17:06:34;3914;1;2.5;1;109.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7129270833;2023-06-28 17:06:37;3939;2;7.8;1;109.9;4;31;2.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7130173611;2023-06-28 17:06:45;4017;1;13.0;1;109.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7131678241;2023-06-28 17:06:58;4147;2;5.5;1;109.9;6;65;2.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7132314815;2023-06-28 17:07:03;4202;1;24.3;1;109.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7135127315;2023-06-28 17:07:28;4445;2;13.8;1;109.9;18;78;8.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7136724537;2023-06-28 17:07:41;4583;1;8.6;1;109.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7137719907;2023-06-28 17:07:50;4669;2;7.8;1;109.9;10;77;2.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7138622685;2023-06-28 17:07:58;4747;1;10.6;1;109.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7139849537;2023-06-28 17:08:08;4853;2;6.4;1;109.9;8;75;0.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7140590278;2023-06-28 17:08:15;4917;1;9.6;1;109.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7141701389;2023-06-28 17:08:24;5013;0;13.6;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45105.7143275463;2023-06-28 17:08:38;5149;1;7.5;2;18.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
