Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45130.5833680556;2023-07-23 14:00:03;0;0;126.8;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5848356482;2023-07-23 14:02:10;1268;1;8.6;1;103.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5849351852;2023-07-23 14:02:18;1354;2;12.9;1;103.9;18;84;5.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5850844907;2023-07-23 14:02:31;1483;1;33.2;1;103.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5854687500;2023-07-23 14:03:05;1815;2;9.8;1;103.9;22;135;8.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5855821759;2023-07-23 14:03:14;1913;1;39.4;1;103.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5860381945;2023-07-23 14:03:54;2307;5;858.3;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5959722222;2023-07-23 14:18:12;10890;1;1.5;2;30.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5959895833;2023-07-23 14:18:14;10905;2;26.4;2;30.5;42;95;8.5;0.0;0.0;0.0;0.0;10.82;-0.88;
45130.5962951389;2023-07-23 14:18:40;11169;1;2.6;2;30.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.5963252315;2023-07-23 14:18:43;11195;5;2212.3;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.6219305556;2023-07-23 14:55:35;33318;1;31.6;3;271.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.6222962963;2023-07-23 14:56:06;33634;2;1.1;3;271.7;2;109;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.6223090278;2023-07-23 14:56:08;33645;1;9.1;3;271.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.6224143519;2023-07-23 14:56:17;33736;2;2.0;3;271.7;2;60;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.6224375000;2023-07-23 14:56:19;33756;1;115.4;3;271.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.6237731482;2023-07-23 14:58:14;34910;2;5.0;3;271.7;4;48;3.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.6238310185;2023-07-23 14:58:19;34960;1;7.2;3;271.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.6239143519;2023-07-23 14:58:26;35032;2;4.3;3;271.7;8;112;2.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.6239641204;2023-07-23 14:58:31;35075;1;6.6;3;271.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.6240405093;2023-07-23 14:58:37;35141;2;28.8;3;271.7;30;63;5.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.6243738426;2023-07-23 14:59:06;35429;1;6.4;3;271.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.6244479167;2023-07-23 14:59:12;35493;2;2.4;3;271.7;4;100;1.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45130.6244756945;2023-07-23 14:59:15;35517;1;15.2;3;271.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
