Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45153.7500347222;2023-08-15 18:00:03;0;5;1466.8;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7670115741;2023-08-15 18:24:30;14668;1;1.9;1;144.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7670335648;2023-08-15 18:24:32;14687;2;4.6;1;144.5;6;78;1.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7670868056;2023-08-15 18:24:36;14733;1;35.1;1;144.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7674930556;2023-08-15 18:25:11;15084;2;4.6;1;144.5;6;78;2.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7675462963;2023-08-15 18:25:16;15130;1;36.0;1;144.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7679629630;2023-08-15 18:25:52;15490;2;27.3;1;144.5;36;79;13.3;0.0;0.0;0.0;0.0;0.71;-0.00;
45153.7682789352;2023-08-15 18:26:19;15763;1;11.6;1;144.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7684131944;2023-08-15 18:26:31;15879;2;11.2;1;144.5;8;43;8.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7685428241;2023-08-15 18:26:42;15991;1;12.2;1;144.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7686840278;2023-08-15 18:26:54;16113;0;27.7;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7690046296;2023-08-15 18:27:22;16390;1;31.7;2;4537.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7693715278;2023-08-15 18:27:54;16707;2;13.7;2;4537.0;14;61;10.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45153.7695300926;2023-08-15 18:28:07;16844;1;27.7;2;4537.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
