Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45309.6250578704;2024-01-18 15:00:05;0;1;26.9;1;71.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6253692130;2024-01-18 15:00:32;269;2;7.3;1;71.0;4;33;1.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6254537037;2024-01-18 15:00:39;342;1;12.3;1;71.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6255960648;2024-01-18 15:00:52;465;2;23.0;1;71.0;42;110;10.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6258622685;2024-01-18 15:01:15;695;1;1.5;1;71.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6258796296;2024-01-18 15:01:16;710;0;1601.9;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6444201389;2024-01-18 15:27:58;16729;1;2.4;2;11.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6444479167;2024-01-18 15:28:00;16753;2;4.2;2;11.0;4;57;1.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6444965278;2024-01-18 15:28:05;16795;1;4.4;2;11.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6445474537;2024-01-18 15:28:09;16839;0;79.2;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6454641204;2024-01-18 15:29:28;17631;1;6.0;3;495.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6455335648;2024-01-18 15:29:34;17691;2;185.9;3;495.1;332;107;95.9;0.0;0.0;0.0;95.9;12.59;-20.71;
45309.6476851852;2024-01-18 15:32:40;19550;1;7.8;3;495.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6477754630;2024-01-18 15:32:48;19628;2;295.0;3;495.1;590;120;69.5;44.1;38.1;0.0;132.9;13.12;-17.36;
45309.6511898148;2024-01-18 15:37:43;22578;1;0.4;3;495.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6511944444;2024-01-18 15:37:43;22582;5;3854.2;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6958032407;2024-01-18 16:41:57;61124;1;0.8;4;450.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6958125000;2024-01-18 16:41:58;61132;2;80.7;4;450.1;112;83;28.7;28.7;0.0;0.0;0.0;5.76;-9.02;
45309.6967465278;2024-01-18 16:43:19;61939;1;40.8;4;450.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6972187500;2024-01-18 16:44:00;62347;2;121.7;4;450.1;148;73;11.1;0.0;0.0;0.0;0.0;10.18;-14.15;
45309.6986273148;2024-01-18 16:46:01;63564;1;22.2;4;450.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6988842593;2024-01-18 16:46:24;63786;2;10.7;4;450.1;12;67;5.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6990081019;2024-01-18 16:46:34;63893;1;18.3;4;450.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6992199074;2024-01-18 16:46:53;64076;2;0.7;4;450.1;2;171;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6992280093;2024-01-18 16:46:53;64083;1;47.7;4;450.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.6997800926;2024-01-18 16:47:41;64560;2;54.9;4;450.1;74;81;9.4;0.0;0.0;0.0;0.0;1.46;-0.67;
45309.7004155093;2024-01-18 16:48:36;65109;1;48.7;4;450.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.7009791667;2024-01-18 16:49:25;65596;2;2.1;4;450.1;2;57;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.7010034722;2024-01-18 16:49:27;65617;1;0.8;4;450.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.7010127315;2024-01-18 16:49:28;65625;0;8776.9;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.8025972222;2024-01-18 19:15:44;153394;1;3.1;5;108.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.8026331018;2024-01-18 19:15:48;153425;2;13.1;5;108.3;14;64;7.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45309.8027847222;2024-01-18 19:16:01;153556;1;36.6;5;108.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
