Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45345.7500462963;2024-02-23 18:00:04;0;1;242.8;1;242.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7528564815;2024-02-23 18:04:07;2428;0;950.1;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7638530093;2024-02-23 18:19:57;11929;1;11.9;2;17.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7639907407;2024-02-23 18:20:09;12048;2;4.3;2;17.0;4;56;1.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7640405093;2024-02-23 18:20:13;12091;1;0.8;2;17.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7640497685;2024-02-23 18:20:14;12099;0;1223.2;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7782071759;2024-02-23 18:40:37;24331;1;10.9;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7783333333;2024-02-23 18:40:48;24440;2;16.0;3;2064.7;16;60;4.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7785185185;2024-02-23 18:41:04;24600;1;17.2;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7787175926;2024-02-23 18:41:21;24772;2;3.6;3;2064.7;2;33;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7787592593;2024-02-23 18:41:25;24808;1;17.0;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7789560185;2024-02-23 18:41:42;24978;2;12.6;3;2064.7;18;86;3.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7791018519;2024-02-23 18:41:54;25104;1;78.5;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7800104167;2024-02-23 18:43:13;25889;2;6.9;3;2064.7;12;104;2.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7800902778;2024-02-23 18:43:20;25958;1;24.2;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7803703704;2024-02-23 18:43:44;26200;2;11.2;3;2064.7;16;86;4.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7805000000;2024-02-23 18:43:55;26312;1;428.1;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7854548611;2024-02-23 18:51:03;30593;2;9.5;3;2064.7;14;88;2.6;0.0;0.0;0.0;0.0;0.00;-5.42;
45345.7855648148;2024-02-23 18:51:13;30688;1;80.8;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7865000000;2024-02-23 18:52:34;31496;2;2.4;3;2064.7;4;100;1.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7865277778;2024-02-23 18:52:36;31520;1;12.8;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7866759259;2024-02-23 18:52:49;31648;2;13.5;3;2064.7;16;71;2.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7868321759;2024-02-23 18:53:02;31783;1;26.5;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7871388889;2024-02-23 18:53:29;32048;2;4.9;3;2064.7;4;49;3.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7871956019;2024-02-23 18:53:34;32097;1;7.2;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7872789352;2024-02-23 18:53:41;32169;2;3.5;3;2064.7;2;34;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7873194444;2024-02-23 18:53:44;32204;1;9.4;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7874282407;2024-02-23 18:53:54;32298;2;3.0;3;2064.7;4;80;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7874629630;2024-02-23 18:53:57;32328;1;32.9;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7878437500;2024-02-23 18:54:30;32657;2;0.9;3;2064.7;2;133;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7878541667;2024-02-23 18:54:31;32666;1;29.7;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7881979167;2024-02-23 18:55:00;32963;2;12.5;3;2064.7;12;58;8.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7883425926;2024-02-23 18:55:13;33088;1;13.6;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7885000000;2024-02-23 18:55:26;33224;2;5.9;3;2064.7;2;20;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7885682870;2024-02-23 18:55:32;33283;1;12.3;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7887106482;2024-02-23 18:55:45;33406;2;23.8;3;2064.7;32;81;6.0;0.0;0.0;0.0;0.0;0.00;-1.30;
45345.7889861111;2024-02-23 18:56:08;33644;1;7.9;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7890775463;2024-02-23 18:56:16;33723;2;15.7;3;2064.7;18;69;4.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7892592593;2024-02-23 18:56:32;33880;1;110.8;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7905416667;2024-02-23 18:58:23;34988;2;12.8;3;2064.7;14;66;4.4;0.0;0.0;0.0;0.0;1.22;-0.00;
45345.7906898148;2024-02-23 18:58:36;35116;1;14.7;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7908599537;2024-02-23 18:58:50;35263;2;22.8;3;2064.7;30;79;6.4;0.0;0.0;0.0;0.0;0.00;-6.73;
45345.7911238426;2024-02-23 18:59:13;35491;1;8.7;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7912245370;2024-02-23 18:59:22;35578;2;9.1;3;2064.7;10;66;4.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7913298611;2024-02-23 18:59:31;35669;1;6.8;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7914085648;2024-02-23 18:59:38;35737;2;6.2;3;2064.7;4;39;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7914803241;2024-02-23 18:59:44;35799;1;6.5;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7915555556;2024-02-23 18:59:50;35864;2;14.7;3;2064.7;22;90;5.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7917256944;2024-02-23 19:00:05;36011;1;37.8;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7921631944;2024-02-23 19:00:43;36389;2;42.8;3;2064.7;50;70;9.3;0.0;0.0;0.0;0.0;6.54;-2.90;
45345.7926585648;2024-02-23 19:01:26;36817;1;94.0;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7937465278;2024-02-23 19:03:00;37757;2;14.1;3;2064.7;12;51;11.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7939097222;2024-02-23 19:03:14;37898;1;8.5;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7940081019;2024-02-23 19:03:22;37983;2;10.8;3;2064.7;16;89;6.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7941331019;2024-02-23 19:03:33;38091;1;40.1;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7945972222;2024-02-23 19:04:13;38492;2;5.4;3;2064.7;2;22;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7946597222;2024-02-23 19:04:19;38546;1;91.4;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7957175926;2024-02-23 19:05:50;39460;2;16.4;3;2064.7;22;80;9.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7959074074;2024-02-23 19:06:06;39624;1;12.5;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7960520833;2024-02-23 19:06:19;39749;2;7.8;3;2064.7;10;77;2.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7961423611;2024-02-23 19:06:27;39827;1;10.1;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7962592593;2024-02-23 19:06:37;39928;2;21.3;3;2064.7;22;62;16.0;16.0;0.0;0.0;0.0;0.00;-0.00;
45345.7965057870;2024-02-23 19:06:58;40141;1;50.5;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7970902778;2024-02-23 19:07:49;40646;2;17.6;3;2064.7;24;82;12.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7972939815;2024-02-23 19:08:06;40822;1;7.6;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7973819444;2024-02-23 19:08:14;40898;2;2.7;3;2064.7;4;89;1.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7974131945;2024-02-23 19:08:17;40925;1;7.4;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7974988426;2024-02-23 19:08:24;40999;2;10.1;3;2064.7;14;83;4.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7976157407;2024-02-23 19:08:34;41100;1;34.1;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.7980104167;2024-02-23 19:09:08;41441;2;54.4;3;2064.7;62;68;16.0;16.0;0.0;0.0;0.0;3.10;-1.36;
45345.7986400463;2024-02-23 19:10:03;41985;1;157.8;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8004664352;2024-02-23 19:12:40;43563;2;54.7;3;2064.7;46;50;6.2;0.0;0.0;0.0;0.0;8.94;-4.82;
45345.8010995370;2024-02-23 19:13:35;44110;1;8.5;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8011979167;2024-02-23 19:13:44;44195;2;22.1;3;2064.7;18;49;5.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8014537037;2024-02-23 19:14:06;44416;1;12.1;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8015937500;2024-02-23 19:14:18;44537;2;10.7;3;2064.7;12;67;7.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8017175926;2024-02-23 19:14:28;44644;1;8.1;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8018113426;2024-02-23 19:14:37;44725;2;8.9;3;2064.7;10;67;4.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8019143519;2024-02-23 19:14:45;44814;1;8.8;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8020162037;2024-02-23 19:14:54;44902;2;5.8;3;2064.7;8;83;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8020833333;2024-02-23 19:15:00;44960;1;1.8;3;2064.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8021041667;2024-02-23 19:15:02;44978;0;105.4;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8033240741;2024-02-23 19:16:47;46032;1;0.8;4;34.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8033333333;2024-02-23 19:16:48;46040;2;32.4;4;34.8;32;59;9.8;0.0;0.0;0.0;0.0;4.11;-0.00;
45345.8037083333;2024-02-23 19:17:20;46364;1;1.6;4;34.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8037268519;2024-02-23 19:17:22;46380;0;3653.1;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8460081019;2024-02-23 20:18:15;82911;1;1.9;5;361.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8460300926;2024-02-23 20:18:17;82930;2;15.0;5;361.4;16;64;4.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8462037037;2024-02-23 20:18:32;83080;1;7.4;5;361.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8462893519;2024-02-23 20:18:39;83154;2;10.3;5;361.4;6;35;9.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8464085648;2024-02-23 20:18:50;83257;1;8.3;5;361.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8465046296;2024-02-23 20:18:58;83340;2;2.3;5;361.4;4;104;1.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8465312500;2024-02-23 20:19:00;83363;1;12.4;5;361.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8466747685;2024-02-23 20:19:13;83487;2;30.9;5;361.4;20;39;11.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8470324074;2024-02-23 20:19:44;83796;1;9.7;5;361.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8471446759;2024-02-23 20:19:53;83893;2;0.8;5;361.4;2;150;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8471539352;2024-02-23 20:19:54;83901;1;7.5;5;361.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8472407407;2024-02-23 20:20:02;83976;2;18.4;5;361.4;18;59;1.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8474537037;2024-02-23 20:20:20;84160;1;7.0;5;361.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8475347222;2024-02-23 20:20:27;84230;2;18.7;5;361.4;18;58;5.1;0.0;0.0;0.0;0.0;1.16;-0.00;
45345.8477511574;2024-02-23 20:20:46;84417;1;96.2;5;361.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8488645833;2024-02-23 20:22:22;85379;2;1.3;5;361.4;2;92;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8488796296;2024-02-23 20:22:23;85392;1;90.5;5;361.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8499270833;2024-02-23 20:23:54;86297;2;5.3;5;361.4;8;91;3.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8499884259;2024-02-23 20:23:59;86350;1;11.1;5;361.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8501168982;2024-02-23 20:24:10;86461;2;4.5;5;361.4;4;53;1.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8501689815;2024-02-23 20:24:15;86506;1;1.9;5;361.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.8501909722;2024-02-23 20:24:17;86525;0;6333.6;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.9234965278;2024-02-23 22:09:50;149861;1;50.3;6;50.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.9240787037;2024-02-23 22:10:40;150364;0;734.3;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.9325775463;2024-02-23 22:22:55;157707;1;21.1;7;976.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.9328217593;2024-02-23 22:23:16;157918;2;26.7;7;976.8;32;72;5.3;0.0;0.0;0.0;0.0;2.21;-0.00;
45345.9331307870;2024-02-23 22:23:43;158185;1;7.3;7;976.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.9332152778;2024-02-23 22:23:50;158258;2;12.5;7;976.8;16;77;5.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.9333599537;2024-02-23 22:24:02;158383;1;8.2;7;976.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.9334548611;2024-02-23 22:24:11;158465;2;16.2;7;976.8;20;74;14.9;0.0;0.0;0.0;0.0;2.04;-0.00;
45345.9336423611;2024-02-23 22:24:27;158627;1;10.7;7;976.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.9337662037;2024-02-23 22:24:37;158734;2;5.7;7;976.8;4;42;1.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.9338321759;2024-02-23 22:24:43;158791;1;75.4;7;976.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.9347048611;2024-02-23 22:25:59;159545;2;3.0;7;976.8;4;80;1.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45345.9347395833;2024-02-23 22:26:02;159575;1;19.9;7;976.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
