Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45376.4166898148;2024-03-25 10:00:02;0;1;2.8;1;100.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4167222222;2024-03-25 10:00:05;28;2;96.6;1;100.8;170;106;44.4;0.0;44.4;0.0;0.0;10.10;-0.00;
45376.4178402778;2024-03-25 10:01:41;994;1;1.4;1;100.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4178564815;2024-03-25 10:01:43;1008;5;965.1;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4290266204;2024-03-25 10:17:48;10659;1;1.5;2;237.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4290439815;2024-03-25 10:17:49;10674;2;30.0;2;237.5;54;108;28.7;28.7;0.0;0.0;0.0;2.96;-0.00;
45376.4293912037;2024-03-25 10:18:19;10974;1;41.2;2;237.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4298680556;2024-03-25 10:19:01;11386;2;22.6;2;237.5;32;85;21.5;21.5;0.0;0.0;0.0;0.00;-0.00;
45376.4301296296;2024-03-25 10:19:23;11612;1;16.5;2;237.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4303206019;2024-03-25 10:19:40;11777;2;6.2;2;237.5;8;77;3.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4303923611;2024-03-25 10:19:46;11839;1;115.8;2;237.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4317326389;2024-03-25 10:21:42;12997;2;1.4;2;237.5;2;86;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4317488426;2024-03-25 10:21:43;13011;1;2.3;2;237.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4317754630;2024-03-25 10:21:45;13034;0;30.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4321226852;2024-03-25 10:22:15;13334;1;40.3;3;86.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4325891204;2024-03-25 10:22:56;13737;2;3.9;3;86.3;2;31;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4326342593;2024-03-25 10:23:00;13776;1;14.6;3;86.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4328032407;2024-03-25 10:23:14;13922;2;3.7;3;86.3;2;32;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4328460648;2024-03-25 10:23:18;13959;1;7.7;3;86.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4329351852;2024-03-25 10:23:26;14036;2;6.0;3;86.3;8;80;4.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4330046296;2024-03-25 10:23:32;14096;1;10.1;3;86.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4331215278;2024-03-25 10:23:42;14197;0;2207.2;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4586678241;2024-03-25 11:00:29;36269;1;0.9;4;17.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.4586782407;2024-03-25 11:00:30;36278;2;9.4;4;17.7;10;64;6.2;0.0;0.0;0.0;0.0;0.00;-0.00;
