Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45376.5208912037;2024-03-25 12:30:05;0;4;1250.6;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.5353657407;2024-03-25 12:50:56;12506;0;2.4;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.5353935185;2024-03-25 12:50:58;12530;1;0.3;1;43.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.5353969907;2024-03-25 12:50:58;12533;2;41.9;1;43.9;66;95;22.4;22.4;0.0;0.0;0.0;0.00;-4.55;
45376.5358819444;2024-03-25 12:51:40;12952;1;1.7;1;43.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.5359016204;2024-03-25 12:51:42;12969;0;949.8;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.5468946759;2024-03-25 13:07:32;22467;1;211.1;2;320.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.5493379630;2024-03-25 13:11:03;24578;2;5.2;2;320.7;2;23;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.5493981481;2024-03-25 13:11:08;24630;1;104.4;2;320.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.5506064815;2024-03-25 13:12:52;25674;0;12.1;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.5507465278;2024-03-25 13:13:05;25795;1;7577.2;3;40230.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6384456019;2024-03-25 15:19:22;101567;2;3.6;3;40230.4;4;67;1.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6384872685;2024-03-25 15:19:25;101603;1;20.3;3;40230.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6387222222;2024-03-25 15:19:46;101806;2;13.9;3;40230.4;10;43;11.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6388831019;2024-03-25 15:20:00;101945;1;68.7;3;40230.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6396782407;2024-03-25 15:21:08;102632;2;21.6;3;40230.4;28;78;14.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6399282407;2024-03-25 15:21:30;102848;1;10.8;3;40230.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6400532407;2024-03-25 15:21:41;102956;2;3.5;3;40230.4;2;34;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6400937500;2024-03-25 15:21:44;102991;1;46.1;3;40230.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6406273148;2024-03-25 15:22:30;103452;2;2.1;3;40230.4;4;114;0.7;0.0;0.0;0.0;0.0;0.00;-0.00;
