Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45453.5001041667;2024-06-10 12:00:09;0;1;39.6;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5005625000;2024-06-10 12:00:49;396;2;4.8;1;33337.5;2;25;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5006180556;2024-06-10 12:00:53;444;1;273.7;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5037858796;2024-06-10 12:05:27;3181;2;4.5;1;33337.5;8;107;3.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5038379630;2024-06-10 12:05:32;3226;1;7.1;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5039201389;2024-06-10 12:05:39;3297;2;3.1;1;33337.5;4;77;2.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5039560185;2024-06-10 12:05:42;3328;1;7.3;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5040405093;2024-06-10 12:05:49;3401;2;14.2;1;33337.5;12;51;5.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5042048611;2024-06-10 12:06:03;3543;1;8.6;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5043043981;2024-06-10 12:06:12;3629;2;15.3;1;33337.5;22;86;7.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5044814815;2024-06-10 12:06:27;3782;1;10.1;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5045983796;2024-06-10 12:06:37;3883;2;1.1;1;33337.5;2;109;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5046111111;2024-06-10 12:06:38;3894;1;396.9;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5092048611;2024-06-10 12:13:15;7863;2;3.6;1;33337.5;4;67;2.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5092465278;2024-06-10 12:13:19;7899;1;56.3;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5098981481;2024-06-10 12:14:15;8462;2;1.0;1;33337.5;2;120;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5099097222;2024-06-10 12:14:16;8472;1;8.0;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5100023148;2024-06-10 12:14:24;8552;2;3.9;1;33337.5;2;31;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5100474537;2024-06-10 12:14:28;8591;1;16.7;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5102407407;2024-06-10 12:14:45;8758;2;33.2;1;33337.5;28;51;13.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5106250000;2024-06-10 12:15:18;9090;1;4394.0;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5614814815;2024-06-10 13:28:32;53030;2;1.0;1;33337.5;2;120;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5614930556;2024-06-10 13:28:33;53040;1;110.2;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5627685185;2024-06-10 13:30:23;54142;2;1.1;1;33337.5;2;109;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5627812500;2024-06-10 13:30:24;54153;1;23.3;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5630509259;2024-06-10 13:30:48;54386;2;16.6;1;33337.5;14;51;10.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5632430556;2024-06-10 13:31:04;54552;1;124.7;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5646863426;2024-06-10 13:33:09;55799;2;24.3;1;33337.5;28;69;7.0;0.0;0.0;0.0;0.0;0.89;-0.00;
45453.5649675926;2024-06-10 13:33:33;56042;1;33.8;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5653587963;2024-06-10 13:34:07;56380;2;20.5;1;33337.5;18;53;8.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5655960648;2024-06-10 13:34:28;56585;1;21.6;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5658460648;2024-06-10 13:34:49;56801;2;11.2;1;33337.5;10;54;9.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5659756944;2024-06-10 13:35:00;56913;1;47.5;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5665254630;2024-06-10 13:35:48;57388;2;0.8;1;33337.5;2;150;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5665347222;2024-06-10 13:35:49;57396;1;10.7;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5666585648;2024-06-10 13:35:59;57503;2;1.5;1;33337.5;2;80;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5666759259;2024-06-10 13:36:01;57518;1;10.2;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5667939815;2024-06-10 13:36:11;57620;2;20.5;1;33337.5;16;47;6.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5670312500;2024-06-10 13:36:32;57825;1;11.7;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5671666667;2024-06-10 13:36:43;57942;2;14.2;1;33337.5;12;51;4.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5673310185;2024-06-10 13:36:57;58084;1;17.7;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5675358796;2024-06-10 13:37:15;58261;2;1.5;1;33337.5;2;80;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5675532407;2024-06-10 13:37:17;58276;1;28.6;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5678842593;2024-06-10 13:37:45;58562;2;3.3;1;33337.5;4;73;1.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5679224537;2024-06-10 13:37:49;58595;1;61.5;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5686342593;2024-06-10 13:38:50;59210;2;7.0;1;33337.5;6;51;1.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5687152778;2024-06-10 13:38:57;59280;1;37.4;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5691481481;2024-06-10 13:39:34;59654;2;1.5;1;33337.5;2;80;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5691655093;2024-06-10 13:39:36;59669;1;72.2;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5700011574;2024-06-10 13:40:48;60391;2;4.1;1;33337.5;6;88;2.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5700486111;2024-06-10 13:40:52;60432;1;66.9;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5708229167;2024-06-10 13:41:59;61101;2;1.0;1;33337.5;2;120;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5708344907;2024-06-10 13:42:00;61111;1;8.7;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5709351852;2024-06-10 13:42:09;61198;2;10.9;1;33337.5;12;66;6.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5710613426;2024-06-10 13:42:20;61307;1;13.3;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5712152778;2024-06-10 13:42:33;61440;2;21.7;1;33337.5;26;72;19.2;19.2;0.0;0.0;0.0;0.00;-0.58;
45453.5714664352;2024-06-10 13:42:55;61657;1;66.4;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5722349537;2024-06-10 13:44:01;62321;2;33.4;1;33337.5;36;65;12.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5726215278;2024-06-10 13:44:35;62655;1;255.4;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5755775463;2024-06-10 13:48:50;65209;2;5.3;1;33337.5;4;45;2.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5756388889;2024-06-10 13:48:55;65262;1;19.7;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5758668982;2024-06-10 13:49:15;65459;2;2.5;1;33337.5;4;96;1.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5758958333;2024-06-10 13:49:17;65484;1;7.7;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5759849537;2024-06-10 13:49:25;65561;2;1.7;1;33337.5;2;71;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5760046296;2024-06-10 13:49:27;65578;1;32.8;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5763842593;2024-06-10 13:50:00;65906;2;1.3;1;33337.5;2;92;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5763993056;2024-06-10 13:50:01;65919;1;135.6;1;33337.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
