Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45594.3750000000;2024-10-29 09:00:00;0;0;8512.9;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4735289352;2024-10-29 11:21:53;85129;1;69.0;1;70.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4743275463;2024-10-29 11:23:02;85819;2;1.5;1;70.9;2;80;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4743449074;2024-10-29 11:23:03;85834;1;0.4;1;70.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4743495370;2024-10-29 11:23:04;85838;0;142.3;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4759965278;2024-10-29 11:25:26;87261;1;2.3;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4760231481;2024-10-29 11:25:28;87284;2;1.4;2;4596.5;2;86;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4760393519;2024-10-29 11:25:30;87298;1;31.0;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4763981481;2024-10-29 11:26:01;87608;2;22.3;2;4596.5;26;70;10.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4766562500;2024-10-29 11:26:23;87831;1;35.5;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4770671296;2024-10-29 11:26:59;88186;2;1.4;2;4596.5;2;86;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4770833333;2024-10-29 11:27:00;88200;1;177.6;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4791388889;2024-10-29 11:29:58;89976;2;4.7;2;4596.5;2;26;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4791932870;2024-10-29 11:30:02;90023;1;36.6;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4796168981;2024-10-29 11:30:39;90389;2;4.5;2;4596.5;2;27;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4796689815;2024-10-29 11:30:43;90434;1;27.1;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4799826389;2024-10-29 11:31:11;90705;2;2.3;2;4596.5;2;52;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4800092593;2024-10-29 11:31:13;90728;1;81.2;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4809490741;2024-10-29 11:32:34;91540;2;52.6;2;4596.5;92;105;27.5;27.5;0.0;0.0;0.0;0.00;-0.00;
45594.4815578704;2024-10-29 11:33:27;92066;1;9.0;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4816620370;2024-10-29 11:33:36;92156;2;0.7;2;4596.5;2;171;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4816701389;2024-10-29 11:33:36;92163;1;103.2;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4828645833;2024-10-29 11:35:20;93195;2;89.0;2;4596.5;148;100;39.8;0.0;76.7;0.0;0.0;0.00;-0.00;
45594.4838946759;2024-10-29 11:36:49;94085;1;10.5;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4840162037;2024-10-29 11:36:59;94190;2;1.5;2;4596.5;2;80;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4840335648;2024-10-29 11:37:01;94205;1;23.6;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4843067130;2024-10-29 11:37:24;94441;2;2.4;2;4596.5;4;100;1.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4843344907;2024-10-29 11:37:27;94465;1;11.5;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4844675926;2024-10-29 11:37:38;94580;2;18.3;2;4596.5;14;46;13.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4846793981;2024-10-29 11:37:56;94763;1;86.8;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4856840278;2024-10-29 11:39:23;95631;2;29.4;2;4596.5;48;98;12.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4860243056;2024-10-29 11:39:53;95925;1;72.6;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4868645833;2024-10-29 11:41:05;96651;2;23.4;2;4596.5;44;113;8.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4871354167;2024-10-29 11:41:29;96885;1;16.5;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4873263889;2024-10-29 11:41:45;97050;2;6.1;2;4596.5;4;39;1.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4873969907;2024-10-29 11:41:51;97111;1;219.4;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4899363426;2024-10-29 11:45:31;99305;2;0.7;2;4596.5;2;171;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4899444444;2024-10-29 11:45:31;99312;1;10.4;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4900648148;2024-10-29 11:45:42;99416;2;0.7;2;4596.5;2;171;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.4900729167;2024-10-29 11:45:42;99423;1;21.8;2;4596.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
