Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45603.3750578704;2024-11-07 09:00:05;0;4;5386.4;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45603.4374004630;2024-11-07 10:29:51;53864;0;620.7;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45603.4445844907;2024-11-07 10:40:12;60071;1;141.8;1;31464.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45603.4462256944;2024-11-07 10:42:34;61489;2;13.0;1;31464.8;14;65;11.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45603.4463761574;2024-11-07 10:42:47;61619;1;16.2;1;31464.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45603.4465636574;2024-11-07 10:43:03;61781;2;62.0;1;31464.8;96;93;13.5;0.0;0.0;0.0;0.0;22.07;-0.00;
45603.4472812500;2024-11-07 10:44:05;62401;1;74.2;1;31464.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45603.4481400463;2024-11-07 10:45:19;63143;2;4.3;1;31464.8;2;28;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45603.4481898148;2024-11-07 10:45:24;63186;1;550.3;1;31464.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45603.4545590278;2024-11-07 10:54:34;68689;2;2.2;1;31464.8;2;55;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45603.4545844907;2024-11-07 10:54:36;68711;1;431.4;1;31464.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45603.4595775463;2024-11-07 11:01:48;73025;2;1.7;1;31464.8;2;71;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
