Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45616.6469444444;2024-11-20 15:31:36;0;0;684.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6548611111;2024-11-20 15:43:00;6840;1;325.3;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6586261574;2024-11-20 15:48:25;10093;2;5.1;1;8056.6;2;24;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6586851852;2024-11-20 15:48:30;10144;1;19.6;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6589120370;2024-11-20 15:48:50;10340;2;2.4;1;8056.6;4;100;1.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6589398148;2024-11-20 15:48:52;10364;1;60.5;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6596400463;2024-11-20 15:49:53;10969;2;5.7;1;8056.6;4;42;1.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6597060185;2024-11-20 15:49:59;11026;1;8.1;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6597997685;2024-11-20 15:50:07;11107;2;3.2;1;8056.6;2;38;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6598368056;2024-11-20 15:50:10;11139;1;11.4;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6599687500;2024-11-20 15:50:21;11253;2;9.1;1;8056.6;8;53;1.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6600740741;2024-11-20 15:50:30;11344;1;67.0;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6608495370;2024-11-20 15:51:37;12014;2;51.9;1;8056.6;94;109;11.9;0.0;0.0;0.0;0.0;0.00;-0.91;
45616.6614502315;2024-11-20 15:52:29;12533;1;7.9;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6615416667;2024-11-20 15:52:37;12612;2;7.0;1;8056.6;10;86;2.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6616226852;2024-11-20 15:52:44;12682;1;14.8;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6617939815;2024-11-20 15:52:59;12830;2;19.9;1;8056.6;32;96;3.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6620243056;2024-11-20 15:53:19;13029;1;1465.0;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6789803241;2024-11-20 16:17:44;27679;2;4.4;1;8056.6;2;27;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6790312500;2024-11-20 16:17:48;27723;1;290.7;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6823958333;2024-11-20 16:22:39;30630;2;1.5;1;8056.6;2;80;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6824131944;2024-11-20 16:22:41;30645;1;95.4;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6835173611;2024-11-20 16:24:16;31599;2;0.8;1;8056.6;2;150;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6835266204;2024-11-20 16:24:17;31607;1;78.0;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6844293981;2024-11-20 16:25:35;32387;2;4.0;1;8056.6;2;30;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6844756944;2024-11-20 16:25:39;32427;1;65.7;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6852361111;2024-11-20 16:26:44;33084;2;2.6;1;8056.6;2;46;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6852662037;2024-11-20 16:26:47;33110;1;24.7;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6855520833;2024-11-20 16:27:12;33357;2;3.5;1;8056.6;4;69;0.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6855925926;2024-11-20 16:27:15;33392;1;573.9;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6922349537;2024-11-20 16:36:49;39131;2;21.3;1;8056.6;12;34;17.6;17.6;0.0;0.0;0.0;0.00;-0.00;
45616.6924814815;2024-11-20 16:37:10;39344;1;7.7;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6925706019;2024-11-20 16:37:18;39421;2;16.8;1;8056.6;10;36;13.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6927650463;2024-11-20 16:37:35;39589;1;8.2;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6928599537;2024-11-20 16:37:43;39671;2;2.3;1;8056.6;2;52;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6928865741;2024-11-20 16:37:45;39694;1;7.7;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6929756944;2024-11-20 16:37:53;39771;2;1.7;1;8056.6;2;71;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6929953704;2024-11-20 16:37:55;39788;1;28.2;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6933217593;2024-11-20 16:38:23;40070;2;7.9;1;8056.6;6;46;2.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6934131944;2024-11-20 16:38:31;40149;1;9.4;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6935219907;2024-11-20 16:38:40;40243;2;15.9;1;8056.6;10;38;11.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6937060185;2024-11-20 16:38:56;40402;1;50.7;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6942928241;2024-11-20 16:39:47;40909;2;23.1;1;8056.6;18;47;21.4;21.4;0.0;0.0;0.0;3.10;-0.00;
45616.6945601852;2024-11-20 16:40:10;41140;1;23.4;1;8056.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
