Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45701.6492708333;2025-02-13 15:34:57;0;0;628.4;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6565439815;2025-02-13 15:45:25;6284;1;1.3;1;22.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6565590278;2025-02-13 15:45:27;6297;2;19.4;1;22.5;22;68;8.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6567835648;2025-02-13 15:45:46;6491;1;1.8;1;22.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6568043981;2025-02-13 15:45:48;6509;0;153.7;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6585833333;2025-02-13 15:48:22;8046;1;19.2;2;19.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6588055556;2025-02-13 15:48:41;8238;0;179.9;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6608877315;2025-02-13 15:51:41;10037;1;1.0;3;10.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6608993056;2025-02-13 15:51:42;10047;2;8.6;3;10.6;8;56;2.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6609988426;2025-02-13 15:51:50;10133;1;1.0;3;10.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6610104167;2025-02-13 15:51:51;10143;0;30.6;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6613645833;2025-02-13 15:52:22;10449;1;11.2;4;29796.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6614942130;2025-02-13 15:52:33;10561;2;6.9;4;29796.6;4;35;2.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6615740741;2025-02-13 15:52:40;10630;1;71.6;4;29796.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
