Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45790.4202083333;2025-05-13 10:05:06;0;1;8.7;1;1062.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4203090278;2025-05-13 10:05:15;87;2;15.3;1;1062.8;6;24;10.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4204861111;2025-05-13 10:05:30;240;1;1038.8;1;1062.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4325092593;2025-05-13 10:22:49;10628;0;2470.3;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4611006944;2025-05-13 11:03:59;35331;1;93.2;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4621793981;2025-05-13 11:05:32;36263;2;1.4;2;48836.8;2;86;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4621956019;2025-05-13 11:05:34;36277;1;178.2;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4642581019;2025-05-13 11:08:32;38059;2;19.3;2;48836.8;24;75;8.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4644814815;2025-05-13 11:08:51;38252;1;6.7;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4645590278;2025-05-13 11:08:58;38319;2.1;112.7;2;48836.8;192;102;15.9;62.7;0.0;0.0;0.0;0.00;-0.00;
45790.4658634259;2025-05-13 11:10:51;39446;1;7.1;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4659456019;2025-05-13 11:10:58;39517;2;22.8;2;48836.8;30;79;14.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4662094907;2025-05-13 11:11:21;39745;1;7.4;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4662951389;2025-05-13 11:11:28;39819;2;9.2;2;48836.8;6;39;4.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4664016204;2025-05-13 11:11:37;39911;1;7.2;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4664849537;2025-05-13 11:11:44;39983;2.1;133.8;2;48836.8;210;94;74.3;0.0;0.0;0.0;74.3;1.80;-0.00;
45790.4680335648;2025-05-13 11:13:58;41321;1;14.2;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4681979167;2025-05-13 11:14:12;41463;2;3.3;2;48836.8;4;73;1.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4682361111;2025-05-13 11:14:16;41496;1;20.6;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4684745370;2025-05-13 11:14:36;41702;2;3.3;2;48836.8;4;73;1.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4685127315;2025-05-13 11:14:40;41735;1;27.7;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4688333333;2025-05-13 11:15:07;42012;2;4.2;2;48836.8;4;57;2.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4688819444;2025-05-13 11:15:11;42054;1;15.9;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4690659722;2025-05-13 11:15:27;42213;2;0.9;2;48836.8;2;133;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4690763889;2025-05-13 11:15:28;42222;1;7.4;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4691620370;2025-05-13 11:15:36;42296;2;0.8;2;48836.8;2;150;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4691712963;2025-05-13 11:15:36;42304;1;145.1;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4708506944;2025-05-13 11:18:02;43755;2;5.9;2;48836.8;4;41;5.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4709189815;2025-05-13 11:18:07;43814;1;46.9;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4714618056;2025-05-13 11:18:54;44283;2;4.0;2;48836.8;2;30;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4715081019;2025-05-13 11:18:58;44323;1;127.5;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4729837963;2025-05-13 11:21:06;45598;2;5.5;2;48836.8;6;65;2.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4730474537;2025-05-13 11:21:11;45653;1;27.3;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4733634259;2025-05-13 11:21:39;45926;2;2.4;2;48836.8;2;50;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4733912037;2025-05-13 11:21:41;45950;1;8.5;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4734895833;2025-05-13 11:21:50;46035;2;5.5;2;48836.8;2;22;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4735532407;2025-05-13 11:21:55;46090;1;53.5;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4741724537;2025-05-13 11:22:49;46625;2;25.2;2;48836.8;28;67;7.2;0.0;0.0;0.0;0.0;0.00;-1.67;
45790.4744641204;2025-05-13 11:23:14;46877;1;12.1;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4746041667;2025-05-13 11:23:26;46998;2;56.9;2;48836.8;42;44;21.0;38.0;0.0;0.0;0.0;0.00;-1.16;
45790.4752627315;2025-05-13 11:24:23;47567;1;90.2;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4763067130;2025-05-13 11:25:53;48469;2;12.8;2;48836.8;18;84;8.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4764548611;2025-05-13 11:26:06;48597;1;7.1;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4765370370;2025-05-13 11:26:13;48668;2;24.5;2;48836.8;26;64;11.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4768206019;2025-05-13 11:26:37;48913;1;8.3;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4769166667;2025-05-13 11:26:46;48996;2;2.1;2;48836.8;2;57;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4769409722;2025-05-13 11:26:48;49017;1;155.7;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4787430556;2025-05-13 11:29:23;50574;2;3.7;2;48836.8;2;32;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4787858796;2025-05-13 11:29:27;50611;1;51.5;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4793819444;2025-05-13 11:30:19;51126;2;32.2;2;48836.8;46;86;30.6;0.0;30.6;0.0;0.0;0.00;-0.00;
45790.4797546296;2025-05-13 11:30:51;51448;1;23.6;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4800277778;2025-05-13 11:31:14;51684;2;4.6;2;48836.8;2;26;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4800810185;2025-05-13 11:31:19;51730;1;12.5;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4802256944;2025-05-13 11:31:32;51855;2;1.4;2;48836.8;2;86;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4802418981;2025-05-13 11:31:33;51869;1;148.6;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4819618056;2025-05-13 11:34:02;53355;2;7.5;2;48836.8;6;48;5.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4820486111;2025-05-13 11:34:09;53430;1;12.5;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4821932870;2025-05-13 11:34:22;53555;2;5.3;2;48836.8;2;23;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4822546296;2025-05-13 11:34:27;53608;1;1473.6;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4993101852;2025-05-13 11:59:00;68344;2.1;120.0;2;48836.8;190;95;93.3;0.0;0.0;0.0;93.3;4.09;-0.89;
45790.5006990741;2025-05-13 12:01:00;69544;1;7.3;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5007835648;2025-05-13 12:01:08;69617;2;11.5;2;48836.8;6;31;6.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5009166667;2025-05-13 12:01:19;69732;1;89.6;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5019537037;2025-05-13 12:02:49;70628;2;17.7;2;48836.8;14;47;9.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5021585648;2025-05-13 12:03:07;70805;1;47.6;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5027094907;2025-05-13 12:03:54;71281;2;1.9;2;48836.8;2;63;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5027314815;2025-05-13 12:03:56;71300;1;26.6;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5030393519;2025-05-13 12:04:23;71566;2;10.1;2;48836.8;8;48;6.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5031562500;2025-05-13 12:04:33;71667;1;96.8;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5042766204;2025-05-13 12:06:10;72635;2;14.9;2;48836.8;10;40;6.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5044490741;2025-05-13 12:06:24;72784;1;66.4;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5052175926;2025-05-13 12:07:31;73448;2;19.0;2;48836.8;14;44;4.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5054375000;2025-05-13 12:07:50;73638;1;9.6;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5055486111;2025-05-13 12:07:59;73734;2;4.6;2;48836.8;6;78;2.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5056018519;2025-05-13 12:08:04;73780;1;8.7;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5057025463;2025-05-13 12:08:13;73867;2;16.2;2;48836.8;18;67;8.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5058900463;2025-05-13 12:08:29;74029;1;44.1;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5064004630;2025-05-13 12:09:13;74470;2;37.7;2;48836.8;56;89;36.4;0.0;36.4;0.0;0.0;0.00;-0.00;
45790.5068368056;2025-05-13 12:09:51;74847;1;7.1;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5069189815;2025-05-13 12:09:58;74918;2.1;63.1;2;48836.8;98;93;61.5;0.0;0.0;0.0;61.5;0.00;-0.00;
45790.5076493056;2025-05-13 12:11:01;75549;1;10.9;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5077754630;2025-05-13 12:11:12;75658;2;23.4;2;48836.8;32;82;19.7;19.7;0.0;0.0;0.0;0.00;-0.00;
45790.5080462963;2025-05-13 12:11:35;75892;1;56.0;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5086944444;2025-05-13 12:12:31;76452;2;1.4;2;48836.8;2;86;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5087106482;2025-05-13 12:12:33;76466;1;70.1;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5095219907;2025-05-13 12:13:43;77167;2;2.4;2;48836.8;4;100;1.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5095497685;2025-05-13 12:13:45;77191;1;40.2;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5100150463;2025-05-13 12:14:25;77593;2;1.2;2;48836.8;2;100;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5100289352;2025-05-13 12:14:27;77605;1;28.4;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5103576389;2025-05-13 12:14:55;77889;2;3.0;2;48836.8;2;40;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5103923611;2025-05-13 12:14:58;77919;1;26.9;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5107037037;2025-05-13 12:15:25;78188;2;4.4;2;48836.8;2;27;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5107546296;2025-05-13 12:15:29;78232;1;48.1;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5113113426;2025-05-13 12:16:17;78713;2;1.3;2;48836.8;2;92;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5113263889;2025-05-13 12:16:19;78726;1;20.8;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5115671296;2025-05-13 12:16:39;78934;2;4.4;2;48836.8;2;27;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5116180556;2025-05-13 12:16:44;78978;1;86.7;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5126215278;2025-05-13 12:18:11;79845;2.1;237.3;2;48836.8;394;100;116.8;28.5;0.0;0.0;184.3;0.61;-0.00;
45790.5153680556;2025-05-13 12:22:08;82218;1;7.5;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5154548611;2025-05-13 12:22:15;82293;2;13.9;2;48836.8;14;60;6.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5156157407;2025-05-13 12:22:29;82432;1;7.4;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5157013889;2025-05-13 12:22:37;82506;2;13.7;2;48836.8;12;53;4.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5158599537;2025-05-13 12:22:50;82643;1;7.8;2;48836.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5159502315;2025-05-13 12:22:58;82721;2;4.3;2;48836.8;2;28;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
