Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45376.5208796296;2024-03-25 12:30:04;0;4;1155.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.5342476852;2024-03-25 12:49:19;11550;0;7931.9;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6260520833;2024-03-25 15:01:31;90869;1;1070.6;1;1214.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6384432870;2024-03-25 15:19:22;101575;2;3.6;1;1214.2;2;33;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6384849537;2024-03-25 15:19:25;101611;1;20.3;1;1214.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6387199074;2024-03-25 15:19:45;101814;2;5.3;1;1214.2;4;45;1.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6387812500;2024-03-25 15:19:51;101867;1;80.9;1;1214.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6397175926;2024-03-25 15:21:12;102676;2;16.7;1;1214.2;24;86;15.3;15.3;0.0;0.0;0.0;0.00;-0.00;
45376.6399108796;2024-03-25 15:21:28;102843;1;12.0;1;1214.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6400497685;2024-03-25 15:21:40;102963;2;3.6;1;1214.2;2;33;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6400914352;2024-03-25 15:21:44;102999;1;1.2;1;1214.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6401053241;2024-03-25 15:21:45;103011;5;2831.7;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6728796296;2024-03-25 16:08:57;131328;1;156.2;2;156.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6746875000;2024-03-25 16:11:33;132890;5;860.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6846412037;2024-03-25 16:25:53;141490;1;4.8;3;1307.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6846967593;2024-03-25 16:25:58;141538;2;18.9;3;1307.7;28;89;12.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6849155093;2024-03-25 16:26:17;141727;1;31.0;3;1307.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6852743056;2024-03-25 16:26:48;142037;2;20.9;3;1307.7;28;80;8.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6855162037;2024-03-25 16:27:09;142246;1;46.8;3;1307.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6860578704;2024-03-25 16:27:55;142714;2;3.6;3;1307.7;4;67;1.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6860995370;2024-03-25 16:27:59;142750;1;21.6;3;1307.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6863495370;2024-03-25 16:28:21;142966;2;1.9;3;1307.7;2;63;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6863715278;2024-03-25 16:28:23;142985;1;7.2;3;1307.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6864548611;2024-03-25 16:28:30;143057;2;4.3;3;1307.7;4;56;2.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6865046296;2024-03-25 16:28:34;143100;1;11.6;3;1307.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45376.6866388889;2024-03-25 16:28:46;143216;2;6.8;3;1307.7;4;35;2.5;0.0;0.0;0.0;0.0;0.00;-0.00;
