Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45453.5000462963;2024-06-10 12:00:04;0;5;307.9;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5036099537;2024-06-10 12:05:12;3079;1;13.6;1;603.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5037673611;2024-06-10 12:05:26;3215;2;4.2;1;603.0;6;86;2.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5038159722;2024-06-10 12:05:30;3257;1;8.1;1;603.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5039097222;2024-06-10 12:05:38;3338;2;2.2;1;603.0;2;55;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5039351852;2024-06-10 12:05:40;3360;1;8.5;1;603.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5040335648;2024-06-10 12:05:49;3445;2;14.0;1;603.0;10;43;5.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5041956019;2024-06-10 12:06:03;3585;1;8.0;1;603.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5042881944;2024-06-10 12:06:11;3665;2;15.7;1;603.0;22;84;8.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5044699074;2024-06-10 12:06:26;3822;1;10.2;1;603.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5045879630;2024-06-10 12:06:36;3924;2;1.3;1;603.0;2;92;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5046030093;2024-06-10 12:06:38;3937;1;395.2;1;603.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5091770833;2024-06-10 12:13:13;7889;2;13.4;1;603.0;16;72;2.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5093321759;2024-06-10 12:13:26;8023;1;55.5;1;603.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5099745370;2024-06-10 12:14:22;8578;2;11.6;1;603.0;8;41;1.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5101087963;2024-06-10 12:14:33;8694;1;10.8;1;603.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5102337963;2024-06-10 12:14:44;8802;2;25.4;1;603.0;30;71;9.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5105277778;2024-06-10 12:15:10;9056;1;5.3;1;603.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5105891204;2024-06-10 12:15:15;9109;0;4667.6;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5646122685;2024-06-10 13:33:03;55785;1;5.6;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5646770833;2024-06-10 13:33:08;55841;2;24.5;2;7341.8;32;78;7.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5649606482;2024-06-10 13:33:33;56086;1;32.2;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5653333333;2024-06-10 13:34:05;56408;2;28.7;2;7341.8;32;67;3.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5656655093;2024-06-10 13:34:34;56695;1;13.5;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5658217593;2024-06-10 13:34:47;56830;2;10.9;2;7341.8;14;77;6.2;0.0;0.0;0.0;0.0;1.09;-0.00;
45453.5659479167;2024-06-10 13:34:58;56939;1;24.4;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5662303241;2024-06-10 13:35:22;57183;2;1.6;2;7341.8;2;75;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5662488426;2024-06-10 13:35:24;57199;1;33.3;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5666342593;2024-06-10 13:35:57;57532;2;3.1;2;7341.8;4;77;1.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5666701389;2024-06-10 13:36:00;57563;1;10.0;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5667858796;2024-06-10 13:36:10;57663;2;20.6;2;7341.8;20;58;8.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5670243056;2024-06-10 13:36:31;57869;1;9.9;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5671388889;2024-06-10 13:36:41;57968;2;16.0;2;7341.8;18;68;5.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5673240741;2024-06-10 13:36:57;58128;1;17.7;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5675289352;2024-06-10 13:37:15;58305;2;1.5;2;7341.8;2;80;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5675462963;2024-06-10 13:37:16;58320;1;28.6;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5678773148;2024-06-10 13:37:45;58606;2;3.0;2;7341.8;4;80;1.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5679120370;2024-06-10 13:37:48;58636;1;61.8;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5686273148;2024-06-10 13:38:49;59254;2;6.9;2;7341.8;6;52;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5687071759;2024-06-10 13:38:56;59323;1;9.9;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5688217593;2024-06-10 13:39:06;59422;2;3.4;2;7341.8;2;35;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5688611111;2024-06-10 13:39:10;59456;1;20.9;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5691030093;2024-06-10 13:39:31;59665;2;4.8;2;7341.8;6;75;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5691585648;2024-06-10 13:39:35;59713;1;14.0;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5693206019;2024-06-10 13:39:49;59853;2;1.8;2;7341.8;2;67;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5693414352;2024-06-10 13:39:51;59871;1;17.8;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5695474537;2024-06-10 13:40:09;60049;2;5.4;2;7341.8;6;67;3.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5696099537;2024-06-10 13:40:14;60103;1;29.0;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5699456019;2024-06-10 13:40:43;60393;2;3.9;2;7341.8;2;31;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5699907407;2024-06-10 13:40:47;60432;1;69.5;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5707951389;2024-06-10 13:41:57;61127;2;1.5;2;7341.8;2;80;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5708125000;2024-06-10 13:41:58;61142;1;11.1;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5709409722;2024-06-10 13:42:09;61253;2;8.0;2;7341.8;8;60;5.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5710335648;2024-06-10 13:42:17;61333;1;15.0;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5712071759;2024-06-10 13:42:32;61483;2;23.0;2;7341.8;24;63;5.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5714733796;2024-06-10 13:42:55;61713;1;64.9;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5722245370;2024-06-10 13:44:00;62362;2;33.4;2;7341.8;38;68;10.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5726111111;2024-06-10 13:44:34;62696;1;252.6;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5755347222;2024-06-10 13:48:46;65222;2;8.1;2;7341.8;6;44;3.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5756284722;2024-06-10 13:48:54;65303;1;21.1;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5758726852;2024-06-10 13:49:15;65514;2;1.1;2;7341.8;2;109;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5758854167;2024-06-10 13:49:17;65525;1;8.2;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5759803241;2024-06-10 13:49:25;65607;2;1.4;2;7341.8;2;86;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5759965278;2024-06-10 13:49:26;65621;1;27.1;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5763101852;2024-06-10 13:49:53;65892;2;5.5;2;7341.8;2;22;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5763738426;2024-06-10 13:49:59;65947;1;19.1;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5765949074;2024-06-10 13:50:18;66138;2;5.4;2;7341.8;4;44;4.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5766574074;2024-06-10 13:50:23;66192;1;25.7;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5769548611;2024-06-10 13:50:49;66449;2;6.3;2;7341.8;8;76;1.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5770277778;2024-06-10 13:50:55;66512;1;22.5;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5772881945;2024-06-10 13:51:18;66737;2;10.6;2;7341.8;4;23;5.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5774108796;2024-06-10 13:51:28;66843;1;7.9;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5775023148;2024-06-10 13:51:36;66922;2;7.7;2;7341.8;6;47;6.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5775914352;2024-06-10 13:51:44;66999;1;10.0;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5777071759;2024-06-10 13:51:54;67099;2;1.8;2;7341.8;2;67;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5777280093;2024-06-10 13:51:56;67117;1;19.9;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5779583333;2024-06-10 13:52:16;67316;2;1.6;2;7341.8;2;75;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5779768519;2024-06-10 13:52:17;67332;1;57.3;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5786400463;2024-06-10 13:53:15;67905;2;2.8;2;7341.8;4;86;1.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5786724537;2024-06-10 13:53:17;67933;1;49.6;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5792465278;2024-06-10 13:54:07;68429;2;4.1;2;7341.8;6;88;1.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5792939815;2024-06-10 13:54:11;68470;1;39.7;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5797534722;2024-06-10 13:54:51;68867;2;6.1;2;7341.8;6;59;4.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5798240741;2024-06-10 13:54:57;68928;1;33.7;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5802141204;2024-06-10 13:55:31;69265;2;1.7;2;7341.8;2;71;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5802337963;2024-06-10 13:55:32;69282;1;8.7;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5803344907;2024-06-10 13:55:41;69369;2;3.1;2;7341.8;4;77;1.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5803703704;2024-06-10 13:55:44;69400;1;68.2;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5811597222;2024-06-10 13:56:52;70082;2;1.4;2;7341.8;2;86;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5811759259;2024-06-10 13:56:54;70096;1;10.1;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5812928241;2024-06-10 13:57:04;70197;2;4.2;2;7341.8;4;57;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5813414352;2024-06-10 13:57:08;70239;1;48.5;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5819027778;2024-06-10 13:57:56;70724;2;5.6;2;7341.8;2;21;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5819675926;2024-06-10 13:58:02;70780;1;21.0;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5822106482;2024-06-10 13:58:23;70990;2;1.5;2;7341.8;2;80;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5822280093;2024-06-10 13:58:25;71005;1;56.8;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5828854167;2024-06-10 13:59:21;71573;2;11.9;2;7341.8;8;40;7.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5830231482;2024-06-10 13:59:33;71692;1;81.1;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5839618056;2024-06-10 14:00:54;72503;2;1.8;2;7341.8;2;67;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5839826389;2024-06-10 14:00:56;72521;1;385.3;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5884421296;2024-06-10 14:07:21;76374;2;2.9;2;7341.8;4;83;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5884756945;2024-06-10 14:07:24;76403;1;240.5;2;7341.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45453.5912592593;2024-06-10 14:11:25;78808;2;26.5;2;7341.8;30;68;5.6;0.0;0.0;0.0;0.0;18.38;-0.00;
