Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45594.3750115741;2024-10-29 09:00:01;0;0;14597.5;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5439641204;2024-10-29 13:03:19;145975;1;0.7;1;17.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5439722222;2024-10-29 13:03:19;145982;2;15.7;1;17.4;22;84;9.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5441539352;2024-10-29 13:03:35;146139;1;1.0;1;17.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5441655093;2024-10-29 13:03:36;146149;0;545.8;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5504826389;2024-10-29 13:12:42;151607;1;1.8;2;370.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5505034722;2024-10-29 13:12:44;151625;2;2.4;2;370.8;4;100;1.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5505312500;2024-10-29 13:12:46;151649;1;7.1;2;370.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5506134259;2024-10-29 13:12:53;151720;2;11.5;2;370.8;12;63;4.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5507465278;2024-10-29 13:13:05;151835;1;12.4;2;370.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5508900463;2024-10-29 13:13:17;151959;2;45.8;2;370.8;64;84;41.0;0.0;41.0;0.0;0.0;0.00;-0.00;
45594.5514201389;2024-10-29 13:14:03;152417;1;14.5;2;370.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5515879630;2024-10-29 13:14:17;152562;2;2.9;2;370.8;4;83;0.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5516215278;2024-10-29 13:14:20;152591;1;140.9;2;370.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5532523148;2024-10-29 13:16:41;154000;2;6.9;2;370.8;4;35;5.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5533321759;2024-10-29 13:16:48;154069;1;15.1;2;370.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5535069444;2024-10-29 13:17:03;154220;2;2.4;2;370.8;2;50;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5535347222;2024-10-29 13:17:05;154244;1;54.0;2;370.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5541597222;2024-10-29 13:17:59;154784;2;16.3;2;370.8;28;103;15.3;15.3;0.0;0.0;0.0;3.98;-0.00;
45594.5543483796;2024-10-29 13:18:16;154947;1;7.4;2;370.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5544340278;2024-10-29 13:18:23;155021;2;26.9;2;370.8;34;76;12.7;0.0;0.0;0.0;0.0;0.00;-1.28;
45594.5547453704;2024-10-29 13:18:50;155290;1;2.5;2;370.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5547743056;2024-10-29 13:18:53;155315;0;104.8;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5559872685;2024-10-29 13:20:37;156363;1;0.8;3;195.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5559965278;2024-10-29 13:20:38;156371;2;24.3;3;195.4;42;104;10.4;0.0;0.0;0.0;0.0;1.32;-9.25;
45594.5562777778;2024-10-29 13:21:02;156614;1;63.3;3;195.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5570104167;2024-10-29 13:22:06;157247;2;8.1;3;195.4;4;30;4.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5571041667;2024-10-29 13:22:14;157328;1;65.6;3;195.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5578634259;2024-10-29 13:23:19;157984;2;31.1;3;195.4;44;85;10.7;0.0;0.0;0.0;0.0;9.93;-0.00;
45594.5582233796;2024-10-29 13:23:51;158295;1;2.2;3;195.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5582488426;2024-10-29 13:23:53;158317;5;2417.5;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5862291667;2024-10-29 14:04:10;182492;1;1.3;4;210.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5862442130;2024-10-29 14:04:12;182505;2;23.3;4;210.2;22;57;10.7;0.0;0.0;0.0;0.0;9.24;-0.00;
45594.5865138889;2024-10-29 14:04:35;182738;1;8.1;4;210.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5866076389;2024-10-29 14:04:43;182819;2;17.0;4;210.2;20;71;15.3;15.3;0.0;0.0;0.0;0.00;-0.00;
45594.5868043982;2024-10-29 14:05:00;182989;1;49.3;4;210.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5873750000;2024-10-29 14:05:49;183482;2;79.3;4;210.2;84;64;32.0;0.0;32.0;0.0;0.0;9.32;-13.84;
45594.5882928241;2024-10-29 14:07:09;184275;1;8.3;4;210.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5883888889;2024-10-29 14:07:17;184358;2;4.9;4;210.2;2;24;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5884456019;2024-10-29 14:07:22;184407;1;7.2;4;210.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5885289352;2024-10-29 14:07:29;184479;2;11.0;4;210.2;10;55;2.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5886562500;2024-10-29 14:07:40;184589;1;0.5;4;210.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.5886620370;2024-10-29 14:07:40;184594;0;1585.1;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6070081019;2024-10-29 14:34:06;200445;1;1.7;5;13.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6070277778;2024-10-29 14:34:07;200462;2;9.4;5;13.6;16;102;3.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6071365741;2024-10-29 14:34:17;200556;1;2.5;5;13.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6071655093;2024-10-29 14:34:19;200581;0;48.7;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6077291667;2024-10-29 14:35:08;201068;1;3.8;6;246.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6077731481;2024-10-29 14:35:12;201106;2;6.8;6;246.0;4;35;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6078518519;2024-10-29 14:35:18;201174;1;10.9;6;246.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6079780093;2024-10-29 14:35:29;201283;2;19.4;6;246.0;26;80;3.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6082025463;2024-10-29 14:35:49;201477;1;29.5;6;246.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6085439815;2024-10-29 14:36:18;201772;2;2.4;6;246.0;4;100;1.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6085717593;2024-10-29 14:36:21;201796;1;35.3;6;246.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6089803241;2024-10-29 14:36:56;202149;2;10.5;6;246.0;6;34;5.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6091018519;2024-10-29 14:37:06;202254;1;40.3;6;246.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6095682870;2024-10-29 14:37:47;202657;2;5.9;6;246.0;2;20;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6096365741;2024-10-29 14:37:53;202716;1;6.8;6;246.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6097152778;2024-10-29 14:37:59;202784;2;8.2;6;246.0;4;29;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6098101852;2024-10-29 14:38:08;202866;1;9.1;6;246.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6099155093;2024-10-29 14:38:17;202957;2;6.4;6;246.0;6;56;1.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6099895833;2024-10-29 14:38:23;203021;1;17.3;6;246.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45594.6101898148;2024-10-29 14:38:40;203194;2;15.9;6;246.0;16;60;5.1;0.0;0.0;0.0;0.0;0.00;-0.00;
