Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45616.6449537037;2024-11-20 15:28:44;0;0;1015.1;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6567025463;2024-11-20 15:45:39;10151;1;50.2;1;131.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6572835648;2024-11-20 15:46:29;10653;2;1.6;1;131.5;2;75;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6573020833;2024-11-20 15:46:31;10669;1;15.9;1;131.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6574861111;2024-11-20 15:46:47;10828;2;6.6;1;131.5;6;55;4.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6575625000;2024-11-20 15:46:53;10894;1;9.4;1;131.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6576712963;2024-11-20 15:47:03;10988;2;6.1;1;131.5;8;79;5.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6577418981;2024-11-20 15:47:09;11049;1;41.7;1;131.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6582245370;2024-11-20 15:47:51;11466;0;59.5;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6589131944;2024-11-20 15:48:50;12061;1;0.5;2;20.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6589189815;2024-11-20 15:48:51;12066;2;5.2;2;20.9;8;92;4.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6589791667;2024-11-20 15:48:56;12118;1;11.8;2;20.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6591157407;2024-11-20 15:49:08;12236;2;2.7;2;20.9;2;44;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6591469907;2024-11-20 15:49:10;12263;1;0.7;2;20.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6591550926;2024-11-20 15:49:11;12270;0;53.1;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6597696759;2024-11-20 15:50:04;12801;1;0.8;3;179.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6597789352;2024-11-20 15:50:05;12809;2;15.8;3;179.3;14;53;13.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6599618056;2024-11-20 15:50:21;12967;1;17.6;3;179.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6601655093;2024-11-20 15:50:38;13143;2;10.4;3;179.3;8;46;1.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6602858796;2024-11-20 15:50:49;13247;1;11.7;3;179.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6604212963;2024-11-20 15:51:00;13364;2;14.0;3;179.3;8;34;5.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6605833333;2024-11-20 15:51:14;13504;1;41.4;3;179.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6610625000;2024-11-20 15:51:56;13918;2;66.8;3;179.3;108;97;61.9;0.0;0.0;0.0;61.9;106.78;-30.59;
45616.6618356481;2024-11-20 15:53:03;14586;1;0.8;3;179.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6618449074;2024-11-20 15:53:03;14594;0;16.1;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6620312500;2024-11-20 15:53:20;14755;1;1.7;4;16.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6620509259;2024-11-20 15:53:21;14772;2;13.5;4;16.1;24;107;3.1;0.0;0.0;0.0;0.0;0.00;-53.85;
45616.6622071759;2024-11-20 15:53:35;14907;1;0.9;4;16.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.6622175926;2024-11-20 15:53:36;14916;5;5653.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.7276458333;2024-11-20 17:27:49;71446;1;1.6;5;149.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45616.7276643518;2024-11-20 17:27:50;71462;2;29.7;5;149.1;30;61;3.7;0.0;0.0;0.0;0.0;0.00;-0.00;
