Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45701.6511226852;2025-02-13 15:37:37;0;0;23.9;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6513993056;2025-02-13 15:38:01;239;1;0.7;1;68.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6514074074;2025-02-13 15:38:02;246;2;9.4;1;68.4;6;38;5.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6515162037;2025-02-13 15:38:11;340;1;17.2;1;68.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6517152778;2025-02-13 15:38:28;512;2;8.5;1;68.4;4;28;5.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6518136574;2025-02-13 15:38:37;597;1;23.5;1;68.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6520856482;2025-02-13 15:39:00;832;2;7.6;1;68.4;4;32;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6521736111;2025-02-13 15:39:08;908;1;1.5;1;68.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6521909722;2025-02-13 15:39:09;923;0;803.9;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6614953704;2025-02-13 15:52:33;8962;1;4.5;2;151.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6615474537;2025-02-13 15:52:38;9007;2;7.0;2;151.7;4;34;2.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6616284722;2025-02-13 15:52:45;9077;1;72.1;2;151.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6624629630;2025-02-13 15:53:57;9798;2;4.6;2;151.7;4;52;1.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6625162037;2025-02-13 15:54:01;9844;1;38.3;2;151.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6629594907;2025-02-13 15:54:40;10227;2;17.4;2;151.7;22;76;11.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6631608796;2025-02-13 15:54:57;10401;1;7.8;2;151.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6632511574;2025-02-13 15:55:05;10479;0;27.5;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6635694444;2025-02-13 15:55:32;10754;1;4.6;3;42.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6636226852;2025-02-13 15:55:37;10800;2;1.5;3;42.0;2;80;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6636400463;2025-02-13 15:55:39;10815;1;19.8;3;42.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6638692130;2025-02-13 15:55:58;11013;2;4.8;3;42.0;2;25;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6639247685;2025-02-13 15:56:03;11061;1;11.3;3;42.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6640555556;2025-02-13 15:56:14;11174;0;160.1;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6659085648;2025-02-13 15:58:55;12775;1;2.7;4;364.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6659398148;2025-02-13 15:58:57;12802;2;1.5;4;364.9;2;80;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6659571759;2025-02-13 15:58:59;12817;1;13.2;4;364.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6661099537;2025-02-13 15:59:12;12949;2;1.8;4;364.9;2;67;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6661307870;2025-02-13 15:59:14;12967;1;6.7;4;364.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6662083333;2025-02-13 15:59:20;13034;2;21.5;4;364.9;22;61;18.2;18.2;0.0;0.0;0.0;0.00;-0.00;
45701.6664571759;2025-02-13 15:59:42;13249;1;53.3;4;364.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6670740741;2025-02-13 16:00:35;13782;2;2.4;4;364.9;4;100;1.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6671018519;2025-02-13 16:00:38;13806;1;67.0;4;364.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6678773148;2025-02-13 16:01:45;14476;2;16.2;4;364.9;22;81;14.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6680648148;2025-02-13 16:02:01;14638;1;56.6;4;364.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6687199074;2025-02-13 16:02:57;15204;2;4.3;4;364.9;6;84;2.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6687696759;2025-02-13 16:03:02;15247;1;17.4;4;364.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6689710648;2025-02-13 16:03:19;15421;2;30.4;4;364.9;30;59;13.3;0.0;0.0;0.0;0.0;2.18;-1.63;
45701.6693229167;2025-02-13 16:03:50;15725;1;53.1;4;364.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6699375000;2025-02-13 16:04:43;16256;2;11.8;4;364.9;8;41;5.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6700740741;2025-02-13 16:04:54;16374;1;5.0;4;364.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6701319444;2025-02-13 16:04:59;16424;0;151.7;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45701.6718877315;2025-02-13 16:07:31;17941;1;3.8;5;172.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
