Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45790.4169791667;2025-05-13 10:00:27;0;1;277.6;1;1355.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4201921296;2025-05-13 10:05:05;2776;2;4.9;1;1355.5;4;49;4.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4202488426;2025-05-13 10:05:10;2825;1;8.4;1;1355.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4203460648;2025-05-13 10:05:18;2909;2;10.6;1;1355.5;8;45;9.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4204687500;2025-05-13 10:05:29;3015;1;1040.3;1;1355.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4325092593;2025-05-13 10:22:49;13418;2;10.3;1;1355.5;8;47;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4326284722;2025-05-13 10:22:59;13521;1;3.4;1;1355.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4326678241;2025-05-13 10:23:03;13555;0;49.1;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4332361111;2025-05-13 10:23:52;14046;1;0.9;2;39.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4332465278;2025-05-13 10:23:53;14055;2;5.4;2;39.7;8;89;1.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4333090278;2025-05-13 10:23:58;14109;1;27.8;2;39.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4336307870;2025-05-13 10:24:26;14387;2;5.1;2;39.7;6;71;1.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4336898148;2025-05-13 10:24:31;14438;1;0.5;2;39.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4336956019;2025-05-13 10:24:31;14443;0;1962.8;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4564131944;2025-05-13 10:57:14;34071;1;2.9;3;19.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4564467593;2025-05-13 10:57:17;34100;2;13.7;3;19.6;18;79;3.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4566053241;2025-05-13 10:57:31;34237;1;3.0;3;19.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4566400463;2025-05-13 10:57:34;34267;0;415.7;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4614513889;2025-05-13 11:04:29;38424;1;1.1;4;12.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4614641204;2025-05-13 11:04:31;38435;2;10.3;4;12.5;10;58;4.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4615833333;2025-05-13 11:04:41;38538;1;1.1;4;12.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4615960648;2025-05-13 11:04:42;38549;0;226.8;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4642210648;2025-05-13 11:08:29;40817;1;1.7;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4642407407;2025-05-13 11:08:30;40834;2;326.3;5;1560.1;566;104;72.7;88.1;32.5;0.0;72.7;37.21;-11.75;
45790.4680173611;2025-05-13 11:13:57;44097;1;12.0;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4681562500;2025-05-13 11:14:09;44217;2;4.1;5;1560.1;6;88;2.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4682037037;2025-05-13 11:14:13;44258;1;22.0;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4684583333;2025-05-13 11:14:35;44478;2;3.2;5;1560.1;4;75;1.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4684953704;2025-05-13 11:14:38;44510;1;24.3;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4687766204;2025-05-13 11:15:02;44753;2;15.8;5;1560.1;14;53;12.6;0.0;0.0;0.0;0.0;0.00;-4.97;
45790.4689594907;2025-05-13 11:15:18;44911;1;8.2;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4690543981;2025-05-13 11:15:26;44993;2;7.9;5;1560.1;4;30;3.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4691458333;2025-05-13 11:15:34;45072;1;244.1;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4719710648;2025-05-13 11:19:38;47513;2;4.8;5;1560.1;2;25;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4720266204;2025-05-13 11:19:43;47561;1;46.2;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4725613426;2025-05-13 11:20:29;48023;2;0.7;5;1560.1;2;171;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4725694444;2025-05-13 11:20:30;48030;1;14.4;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4727361111;2025-05-13 11:20:44;48174;2;1.3;5;1560.1;2;92;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4727511574;2025-05-13 11:20:46;48187;1;15.4;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4729293981;2025-05-13 11:21:01;48341;2;10.0;5;1560.1;8;48;5.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4730451389;2025-05-13 11:21:11;48441;1;9.2;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4731516204;2025-05-13 11:21:20;48533;2;9.8;5;1560.1;8;49;8.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4732650463;2025-05-13 11:21:30;48631;1;55.7;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4739097222;2025-05-13 11:22:26;49188;2;13.7;5;1560.1;6;26;8.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4740682870;2025-05-13 11:22:40;49325;1;7.2;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4741516204;2025-05-13 11:22:47;49397;2;25.2;5;1560.1;30;71;7.8;0.0;0.0;0.0;0.0;0.00;-6.23;
45790.4744432870;2025-05-13 11:23:12;49649;1;7.8;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4745335648;2025-05-13 11:23:20;49727;2;38.9;5;1560.1;26;40;22.2;22.2;0.0;0.0;0.0;0.00;-0.00;
45790.4749837963;2025-05-13 11:23:59;50116;1;8.3;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4750798611;2025-05-13 11:24:07;50199;2;14.2;5;1560.1;10;42;10.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4752442130;2025-05-13 11:24:21;50341;1;73.1;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4760902778;2025-05-13 11:25:34;51072;2;1.4;5;1560.1;2;86;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4761064815;2025-05-13 11:25:36;51086;1;15.3;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4762835648;2025-05-13 11:25:51;51239;2;38.0;5;1560.1;48;76;23.9;23.9;0.0;0.0;0.0;9.09;-3.18;
45790.4767233796;2025-05-13 11:26:29;51619;1;7.0;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4768043981;2025-05-13 11:26:36;51689;2;14.7;5;1560.1;8;33;12.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4769745370;2025-05-13 11:26:51;51836;1;66.4;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4777430556;2025-05-13 11:27:57;52500;2;16.0;5;1560.1;12;45;13.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4779282407;2025-05-13 11:28:13;52660;1;59.1;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4786122685;2025-05-13 11:29:12;53251;2;13.6;5;1560.1;6;26;9.5;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4787696759;2025-05-13 11:29:26;53387;1;44.5;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4792847222;2025-05-13 11:30:10;53832;2;39.2;5;1560.1;54;83;22.8;22.8;0.0;0.0;0.0;3.74;-0.00;
45790.4797384259;2025-05-13 11:30:49;54224;1;17.5;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4799409722;2025-05-13 11:31:07;54399;2;10.9;5;1560.1;8;44;5.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4800671296;2025-05-13 11:31:18;54508;1;12.2;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4802083333;2025-05-13 11:31:30;54630;2;4.8;5;1560.1;6;75;2.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4802638889;2025-05-13 11:31:35;54678;1;145.1;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4819432870;2025-05-13 11:34:00;56129;2;7.7;5;1560.1;10;78;3.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4820324074;2025-05-13 11:34:08;56206;1;12.4;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4821759259;2025-05-13 11:34:20;56330;2;5.3;5;1560.1;4;45;1.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4822372685;2025-05-13 11:34:25;56383;1;3.5;5;1560.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4822777778;2025-05-13 11:34:29;56418;0;1451.3;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4990752315;2025-05-13 11:58:40;70931;1;17.0;6;1656.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.4992719907;2025-05-13 11:58:57;71101;2;121.8;6;1656.7;200;99;87.8;0.0;0.0;0.0;87.8;0.51;-1.73;
45790.5006817130;2025-05-13 12:00:59;72319;1;7.3;6;1656.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5007662037;2025-05-13 12:01:06;72392;2;22.3;6;1656.7;16;43;17.5;17.5;0.0;0.0;0.0;0.00;-0.00;
45790.5010243056;2025-05-13 12:01:29;72615;1;22.9;6;1656.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45790.5012893519;2025-05-13 12:01:51;72844;2;1.9;6;1656.7;2;63;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
